seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.276585,11,0.645524,1124,94,387,2001,10625309995687,124430728847610,33178874804348,0,never,8,0,0.276585,4134825680413,242,212,58,1
2,0.283134,11,0.624949,945,84,324,2001,10500272149344,112802235666045,29816838088817,0,never,8,0,0.283134,3951509987122,268,244,32,0
3,0.269697,9,0.643984,1066,94,356,2001,10749400222636,116442572170285,34961520413186,0,never,8,0,0.269697,4238686575853,252,236,48,1
4,0.284424,10,0.617641,1114,95,387,2001,10522069645518,103855909983681,30395053615996,0,never,8,0,0.284424,3979954122396,247,232,53,1
5,0.287913,10,0.614105,1020,93,348,2001,10549233469595,113708856806686,30320647037739,0,never,9,0,0.287913,4060134597936,254,225,46,1
6,0.295405,10,0.581464,1032,75,342,2001,10462235267260,107003593532875,27428493459398,0,never,30,0,0.295405,3902695679289,259,243,41,1
7,0.281133,10,0.643170,1105,105,383,2001,10561334753868,110527204389593,31731501585763,0,never,8,0,0.281133,4014354257155,243,220,57,3
8,0.286518,11,0.608229,1005,85,353,2001,10524023069176,101563910505342,29059271712229,0,never,12,0,0.286518,3960557655313,251,226,49,1
9,0.273779,10,0.623427,1198,104,389,2001,10656897196832,117174425068625,32985815312882,0,never,8,0,0.273779,4110333576173,240,210,60,2
10,0.282236,11,0.622705,1028,86,349,2001,10625629170642,124720910438328,31357457054526,0,never,8,0,0.282236,4044407251585,253,229,47,2
11,0.276020,10,0.669521,1070,96,375,2001,10630048213536,121797338614361,33344162569755,0,never,8,0,0.276020,4144960136306,245,220,55,0
12,0.290879,13,0.611664,994,86,333,2001,10520547978904,114013116073498,29613886848400,0,never,10,0,0.290879,4016864119980,257,236,43,1
13,0.276349,11,0.634712,1063,88,370,2001,10591453216340,109820301495169,31730613068908,0,never,8,0,0.276349,4130344768285,246,227,54,0
14,0.277531,12,0.618212,1037,73,355,2001,10597515668866,113299264689584,30876432019383,0,never,8,0,0.277531,4009413435000,249,227,51,0
15,0.288590,10,0.614914,1079,100,375,2001,10527507780014,108762788145472,30370242902389,0,never,9,0,0.288590,4017315793007,240,222,60,1
16,0.276517,10,0.642627,959,81,323,2001,10494025269722,111743571458202,30541600366247,0,never,8,0,0.276517,3943602829325,256,230,44,0
17,0.283766,11,0.609285,1024,68,349,2001,10535825286047,103947890032164,29583178630991,0,never,11,0,0.283766,4064230464265,250,232,50,0
18,0.294945,9,0.610710,1012,84,345,2001,10497135280557,106043865791196,29130939933748,0,never,10,0,0.294945,3947460365526,243,221,57,2
19,0.272987,11,0.641549,1061,83,373,2001,10587236788772,110742920760892,31979694948452,0,never,8,0,0.272987,3969623605743,250,235,50,0
20,0.287577,13,0.599943,1033,91,375,2001,10526629898054,126779294900502,28794205601227,0,never,15,0,0.287577,4119552114706,234,222,66,1
21,0.298095,13,0.586506,1055,105,360,2001,10485824466546,102954056017558,27474667915683,0,never,27,0,0.298095,3894359186316,246,226,54,0
22,0.282201,9,0.637606,1107,101,377,2001,10626715938611,116640587646544,32251566522200,0,never,8,0,0.282201,4134801109950,256,232,44,0
23,0.275540,10,0.660097,1070,92,361,2001,10588843668661,111852658247730,32869145479815,0,never,8,0,0.275540,4112462079858,243,228,57,0
24,0.274485,11,0.613214,1003,93,349,2001,10557932381241,109946686319222,32088395736616,0,never,8,0,0.274485,4075304663931,252,223,48,0
25,0.266973,9,0.660993,1123,89,379,2001,10558131555388,113174563348547,33360227586340,0,never,8,0,0.266973,4044867674906,256,229,44,1
26,0.274783,12,0.625575,987,100,337,2001,10574725914675,112720042229965,30661716419314,0,never,8,0,0.274783,4048364258577,249,231,51,0
27,0.295753,10,0.585287,991,86,344,2001,10477128480209,104219101791873,27495090176836,0,never,29,0,0.295753,3948896767586,260,237,40,0
28,0.269647,12,0.654795,1087,84,371,2001,10673160580430,126403841937928,33036558475335,0,never,8,0,0.269647,4221290259682,250,221,50,0
