seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.368371,599,0.367139,11234,178,543,2000,10415071278897,105727426783489,41758813945931,0,never,180,0,0.368371,3143068572681,235,192,65,1
2,0.453315,599,0.452718,10947,137,476,2000,10273725674522,92563970457957,31142593428046,0,never,66,0,0.453315,2927671405114,235,192,65,0
3,0.302914,599,0.302513,10847,155,508,2000,10470181819916,99015926954605,50313583435392,0,never,289,0,0.302914,3036267210203,238,199,62,1
4,0.369304,599,0.368518,10770,139,528,2000,10304651687753,86364103576527,31158440983074,0,never,173,0,0.369304,2885350384532,214,171,86,4
5,0.497063,599,0.498362,11564,141,491,2000,10340483028477,87440163344414,40327149613810,0,never,5,0,0.497063,3040978276054,236,192,64,2
6,0.534876,14,0.621807,11454,133,494,2000,10219203749836,78590954102803,31528028021770,0,never,0,0,0.534876,2898678442308,232,193,68,2
7,0.348157,599,0.347257,11556,156,534,2000,10343656938723,93524679771745,36367770882350,0,never,198,0,0.348157,2943874879938,221,174,79,3
8,0.458862,597,0.457084,11628,139,495,2000,10258374998558,80064144171259,31591779514964,0,never,75,0,0.458862,2883305628102,243,195,57,1
9,0.334226,599,0.333825,11593,130,572,2000,10414469874655,99043598867274,41750911401385,0,never,241,0,0.334226,3094397123453,224,175,76,1
10,0.484273,597,0.484429,11103,144,493,2000,10376880185843,98189185218794,43983512205531,0,never,34,0,0.484273,3174916061294,238,187,62,4
11,0.402324,599,0.401555,11514,141,521,2000,10351679094114,102385114164691,42373228960800,0,never,127,0,0.402324,3040367825940,220,187,80,1
12,0.492583,13,0.578738,11864,132,502,2000,10282712969928,85689063163513,37453300172663,0,never,1,0,0.492583,2997267027582,228,190,72,2
13,0.345706,599,0.344710,12137,136,518,2000,10381463764609,92470096305501,36842592144341,0,never,204,0,0.345706,3098974067876,215,173,85,1
14,0.471385,12,0.487356,10455,131,495,2000,10345517475978,86836105751537,42686074091477,0,never,25,0,0.471385,3106065884540,248,211,52,1
15,0.473040,599,0.472640,11699,143,535,2000,10344211109432,85674223082899,35855963254300,0,never,45,0,0.473040,2947973453230,232,179,68,1
16,0.416898,599,0.415855,10099,157,473,2000,10285925702648,93421222410632,31639144945445,0,never,103,0,0.416898,2963708480244,228,194,72,1
17,0.452030,599,0.453453,12365,148,513,2000,10287593159629,81840493801244,33917969461043,0,never,84,0,0.452030,2978709189150,243,188,57,3
18,0.462592,599,0.462657,10808,119,490,2000,10256752336525,85592583567794,29140862144957,0,never,63,0,0.462592,2936670200641,235,195,65,1
19,0.356396,599,0.355347,12196,160,525,2000,10370068964557,93158041511209,37480454029620,0,never,182,0,0.356396,2961214166688,225,192,75,0
20,0.384992,15,0.535900,10335,146,504,2000,10604453370800,87313307105362,59083891923853,0,never,7,0,0.384992,3104160363940,243,198,57,2
21,0.520924,13,0.609541,10143,133,507,2000,10222355505170,74406405764941,32688838559002,0,never,0,0,0.520924,2852512347274,237,204,63,1
22,0.397059,599,0.396579,11498,149,529,2000,10400741536933,95820582413114,41882575461967,0,never,159,0,0.397059,3028924363342,231,194,69,5
23,0.370999,599,0.370579,12738,135,512,2000,10367119709293,94008342694504,39837303890050,0,never,164,0,0.370999,3075986134476,243,198,57,3
24,0.341425,599,0.340865,11218,134,501,2000,10342275410732,91763508029854,38360875894074,0,never,240,0,0.341425,3030031585921,224,180,76,3
25,0.414604,599,0.414110,11594,168,546,2000,10418141894617,93167322568422,41530225425399,0,never,122,0,0.414604,2965162318464,232,193,68,1
26,0.425857,599,0.425431,10456,148,486,2000,10335124167597,91726351526648,36232634201492,0,never,116,0,0.425857,2956631571688,233,188,67,3
27,0.514123,10,0.626760,11387,135,492,2000,10218314077031,73785891016960,34757411959730,0,never,0,0,0.514123,2853372981390,238,196,62,0
28,0.409114,12,0.526036,11178,158,533,2000,10430047416283,94440447526653,54822630375895,0,never,4,0,0.409114,3208986695431,236,195,64,0
29,0.387353,599,0.386478,11425,138,513,2000,10262522950219,84173789970832,30061029670481,0,never,163,0,0.387353,2892134539440,228,182,72,1
30,0.294001,599,0.293385,11324,157,519,2000,10346420810933,87949688764078,37325752856298,0,never,286,0,0.294001,2962002291554,235,181,65,1
31,0.490104,597,0.490498,11294,143,508,2000,10319821458263,84788374603124,39364698372285,0,never,20,0,0.490104,3051284569578,231,187,69,1
32,0.363803,599,0.363478,10827,123,483,2000,10292477972745,85603419154300,32473629789360,0,never,194,0,0.363803,2853651136455,239,189,61,1
33,0.339208,599,0.338472,12262,138,522,2000,10323141139579,90353641466931,32586714233803,0,never,218,0,0.339208,2949366682965,232,185,68,1
34,0.380420,599,0.380108,11002,157,548,2000,10351653746958,87051065288946,37531412599299,0,never,171,0,0.380420,2988641499219,222,179,78,3
35,0.415751,599,0.415236,10403,138,460,2000,10343414881567,90260567452253,31649117242024,0,never,101,0,0.415751,2916798468634,252,201,48,2
36,0.497823,599,0.496280,10354,165,533,2000,10299296335640,85543859393623,35230725471216,0,never,6,0,0.497823,2956001427950,234,196,66,4
37,0.495812,15,0.516941,11538,151,540,2000,10289692147881,85233838707746,39931977585362,0,never,1,0,0.495812,3037938314430,228,185,72,2
38,0.386646,599,0.386051,11940,131,510,2000,10376984432743,99560461228711,36983345823916,0,never,152,0,0.386646,3045395809758,233,180,67,2
39,0.416906,599,0.416349,11318,154,512,2000,10364213332926,91638307021703,35494682351234,0,never,112,0,0.416906,2953053402373,230,197,70,0
40,0.311070,599,0.310189,12279,165,538,2000,10411141514992,91642760752114,43073937570241,0,never,267,0,0.311070,3067410584529,219,170,81,2
41,0.346056,599,0.345582,11011,153,526,2000,10323853188865,86467392437263,32326105796859,0,never,202,0,0.346056,2986109540262,243,196,57,3
42,0.446247,599,0.445994,10712,136,530,2000,10372504482561,91618200079089,43768807979513,0,never,94,0,0.446247,3057462471045,224,190,76,1
43,0.482451,15,0.609966,11784,122,499,2000,10289691405028,81032550756125,45350269653525,0,never,4,0,0.482451,2997742859496,228,185,72,6
44,0.334840,599,0.333893,9409,157,485,2000,10266320649938,93213482959914,34172388616775,0,never,243,0,0.334840,2996064040618,233,192,67,3
45,0.400798,599,0.400064,11314,149,492,2000,10287509155060,90182286903230,32912439903996,0,never,149,0,0.400798,2906084452222,221,182,79,5
46,0.280113,599,0.279981,11317,131,492,2000,10426823531079,92956467500707,51764743553879,0,never,324,0,0.280113,3151982929742,242,191,58,2
