seed,slot,oracle_price,h,c_tot,pnl_pos_tot,insurance,open_interest,cum_liquidations,cum_force_closes
1,0,60000000000,1.000000,118222847877043,3143068572681,10107866550276,3557137456,0,0
1,5,58500000000,0.750212,118154946336009,4271649496042,10114191867584,3557137456,0,0
1,10,57000000000,0.526209,117652270888379,7043325063780,10115251185808,3557137456,0,0
1,15,55500000000,0.551896,115982030087638,9741881317732,10115251185808,3557137456,0,0
1,20,54000000000,0.684176,112282653306669,13261512667588,10117918620099,3547365147,17,0
1,25,52500000000,0.820533,108225013929741,15934462577564,10174017351581,3334376514,75,4
1,30,51000000000,0.828215,105365823080920,19221238293954,10188647353405,3264753657,173,19
1,35,49500000000,0.828431,102621966728714,22495159870079,10216118475884,3110078553,313,44
1,40,48000000000,0.847213,99824832908320,25266817842040,10242568160847,2910091281,488,93
1,45,46500000000,0.838019,97444614157888,28357862439990,10264755443365,2778943151,636,125
1,50,45000000000,0.820689,95543473913843,31251666354639,10282405932534,2651984957,776,146
1,55,43500000000,0.799209,94421637479596,33490855239145,10285953510124,2544366577,883,158
1,60,42000000000,0.777941,92431926250078,36943391844377,10302094091616,2364437139,1020,167
1,65,42277200000,0.775691,91405107533021,38364121387934,10309971451838,2325623022,1096,178
1,70,42558600000,0.791199,90939522911166,38200279326917,10310230840944,2323545239,1125,178
1,75,42840000000,0.794975,91086212531244,37834288819025,10310242956254,2323488393,1128,178
1,80,43117200000,0.796822,91365077011459,37396650688040,10310242956254,2323488393,1128,178
1,85,43398600000,0.798445,91612795675633,37010371953811,10310242956254,2323488393,1128,178
1,90,43680000000,0.800302,91872851719808,36599527287421,10310242956254,2323488393,1128,178
1,95,43957200000,0.801475,92080316262487,36287134932907,10310242956254,2323488393,1128,178
1,100,44238600000,0.803368,92349549610247,35866510200218,10310242956254,2323488393,1128,178
1,105,44520000000,0.805033,92579143936940,35507122832488,10310242956254,2323488393,1128,178
1,110,44797200000,0.806778,92843017213676,35103226497626,10310242956254,2323488393,1128,178
1,115,45078600000,0.808297,93078242636122,34746266294274,10310242956254,2323488393,1128,178
1,120,45360000000,0.810034,93325590573337,34366415514831,10310242956254,2323488393,1128,178
1,125,45360000000,0.808494,93523009927665,34187685545965,10310242956254,2323488393,1128,178
1,130,45360000000,0.800968,93776490069821,34192450476752,10310246885565,2323471068,1130,178
