seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.143021,8,0.423177,2173,69,1365,2001,479163695502,114648558683441,74073210879123,0,never,561,0,0.143021,4134234367454,101,89,199,12
2,0.150667,8,0.436917,2086,66,1287,2001,350973254256,102582032610087,66382234392587,0,never,562,0,0.150667,3952276954996,118,99,182,7
3,0.138255,8,0.425572,2052,74,1311,2001,468954567513,106041509064601,78003611752501,0,never,561,0,0.138255,4238087005982,123,112,177,10
4,0.152389,8,0.410285,2055,68,1296,2001,366570898851,95783464545160,65810832742716,0,never,565,0,0.152389,3980108521166,130,122,170,5
5,0.142111,8,0.423801,2074,68,1289,2001,410560427734,101728242744473,72532527332962,0,never,561,0,0.142111,4060061750357,112,88,188,7
6,0.163077,9,0.423849,1997,65,1258,2001,266470622384,97038731882517,61600527353991,0,never,568,0,0.163077,3903764356183,132,117,168,5
7,0.149673,8,0.423215,2062,78,1290,2001,385886962186,102282599572616,68118629957155,0,never,562,0,0.149673,4015673218614,121,104,179,10
8,0.154661,8,0.391592,2078,61,1293,2001,303253395846,93970979577489,65089093647818,0,never,566,0,0.154661,3960962483216,119,101,181,6
9,0.140098,8,0.436794,2151,83,1353,2001,404162915951,105311839414466,74816945924536,0,never,562,0,0.140098,4110777114781,111,94,189,13
10,0.149293,8,0.436558,1980,72,1251,2001,359674354345,113681097991403,70625673130001,0,never,561,0,0.149293,4045086624270,129,110,171,9
11,0.138291,8,0.449711,2155,63,1330,2001,395288099805,109673124605490,77124064333505,0,never,561,0,0.138291,4146476146210,117,97,183,10
12,0.149189,8,0.425399,2076,71,1322,2001,348959312350,103064941649968,68720193894426,0,never,562,0,0.149189,4016902302438,119,106,181,11
13,0.143133,8,0.424340,2150,67,1359,2001,443010058385,99197791462232,72844302601459,0,never,561,0,0.143133,4131602871545,97,84,203,14
14,0.143552,8,0.412873,2079,74,1290,2001,384400009464,102990228745830,71717831738162,0,never,563,0,0.143552,4008169299138,117,87,183,11
15,0.146097,8,0.416306,2080,68,1325,2001,330360978637,98585674740364,69778782100650,0,never,562,0,0.146097,4018710141494,116,105,184,5
16,0.149912,8,0.443146,2061,67,1302,2001,320026706699,101792970244063,67136968061997,0,never,561,0,0.149912,3944669583876,114,93,186,6
17,0.152958,8,0.395047,2099,72,1319,2001,329385736657,95474198447596,67598861704048,0,never,565,0,0.152958,4065026801723,132,111,168,10
18,0.154556,8,0.407380,2070,78,1309,2001,338864238808,97704945659529,64528791530299,0,never,568,0,0.154556,3947955608619,110,96,190,1
19,0.143231,8,0.432697,2098,72,1301,2001,397410274466,101041149512332,70275782532989,0,never,562,0,0.143231,3969991877725,134,108,166,9
20,0.137153,8,0.439670,2078,64,1291,2001,473847701948,110313217333138,76861645933875,0,never,561,0,0.137153,4120358745298,122,109,178,13
21,0.158621,8,0.399327,2035,74,1275,2001,298393003260,94347296571079,62375542588951,0,never,568,0,0.158621,3895485220123,108,91,192,10
22,0.148188,8,0.406558,2065,69,1297,2001,399894841750,107617845295813,73331093919198,0,never,563,0,0.148188,4143331945848,114,95,186,8
23,0.150103,8,0.436576,2071,63,1313,2001,373376792750,103332324312364,69707478811712,0,never,561,0,0.150103,4113773191763,131,114,169,8
24,0.154867,8,0.400991,2034,73,1263,2001,320510051131,102720754949375,67683266871689,0,never,568,0,0.154867,4076345245724,120,103,180,11
25,0.144337,8,0.435126,2086,73,1314,2001,361370405317,104537912562330,70977811039520,0,never,561,0,0.144337,4045013647840,123,109,177,11
26,0.147968,8,0.421815,2089,66,1290,2001,355964181383,102676258161390,69802524946890,0,never,561,0,0.147968,4048541902015,126,108,174,9
27,0.152550,8,0.407062,2041,77,1262,2001,352154385509,94042300936909,64840960726268,0,never,562,0,0.152550,3949252825688,121,109,179,12
28,0.129903,8,0.430141,2083,74,1301,2001,443456114453,112411260337601,83355059183506,0,never,561,0,0.129903,4220187717047,111,93,189,11
29,0.158102,8,0.399082,2080,72,1284,2001,339008390328,95142415928613,64079126761353,0,never,564,0,0.158102,3955347320055,122,101,178,7
30,0.145496,8,0.389969,2109,75,1325,2001,369205067284,96318927845336,70669245347108,0,never,566,0,0.145496,4036937120401,113,101,187,8
31,0.149743,9,0.396536,2045,67,1299,2001,387944208468,101214288934317,70143082083109,0,never,568,0,0.149743,4087555941486,133,109,167,10
32,0.151629,8,0.406826,2120,77,1308,2001,339595884521,95832724522576,65204842510839,0,never,564,0,0.151629,3946554028889,136,107,164,3
33,0.151317,8,0.403365,2121,64,1324,2001,385165605358,99165346457328,67323504530386,0,never,565,0,0.151317,3980500602190,119,101,181,8
34,0.148932,8,0.405061,2058,82,1328,2001,350819530292,98687361962829,68213321548380,0,never,568,0,0.148932,4029081466687,114,100,186,10
35,0.146807,8,0.430031,2001,71,1272,2001,321587068826,99448318439631,67381062108173,0,never,563,0,0.146807,3936460615906,123,100,177,8
36,0.146868,8,0.418742,2103,74,1310,2001,373189456458,98981127414448,69190898346700,0,never,562,0,0.146868,4022059458933,119,103,181,9
37,0.147400,8,0.413662,2139,68,1335,2001,346891428107,102200183975564,69184347545727,0,never,562,0,0.147400,3968546367496,113,95,187,9
