seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.175331,40,0.932693,942,27,658,2000,10180316886388,101762029632120,20940915198312,0,never,20,0,0.175331,3106801745722,44,35,16,4
2,0.162862,40,0.978900,844,37,600,2000,10120206335975,90609509328332,16556129105493,0,never,25,0,0.162862,2907180570236,42,36,18,1
3,0.107759,40,0.927042,943,20,655,2000,10161237764359,92977191206749,23265614841855,0,never,30,0,0.107759,3016088036812,42,34,18,1
4,0.187455,40,0.945931,957,32,662,2000,10132633170701,82965961779539,15913030637545,0,never,25,0,0.187455,2868737941412,47,42,13,2
5,0.273323,40,0.951644,891,23,618,2000,10214658460103,88753302028692,19871072794772,0,never,20,0,0.273323,3027411291328,46,40,14,5
6,0.199722,40,0.964525,871,14,598,2000,10100355792956,85312890101044,13479443440846,0,never,25,0,0.199722,2864612469522,46,39,14,0
7,0.130483,40,0.972983,908,33,631,2000,10141294524967,89467468344131,17357478985539,0,never,20,0,0.130483,2908070731661,33,28,27,4
8,0.167045,40,0.964797,905,20,624,2000,10135071325684,80035310564689,15124674196686,0,never,15,0,0.167045,2852389722380,38,35,22,5
9,0.220388,40,0.917298,958,30,679,2000,10171867555598,93385364310105,21626929698067,0,never,20,0,0.220388,3077692077607,38,32,22,3
10,0.264622,40,0.955937,866,24,589,2000,10183114909183,101713314859509,18805147237963,0,never,20,0,0.264622,3136727452787,42,39,18,2
11,0.189774,40,0.961349,958,22,660,2000,10233702368347,97536791192065,22865262704576,0,never,15,0,0.189774,3000547391404,46,37,14,2
12,0.141275,40,0.950033,872,17,594,2000,10128370491830,90629943041215,17777391590037,0,never,25,0,0.141275,2981575369101,42,38,18,3
13,0.138284,40,0.955827,923,20,647,2000,10142466905353,85860874261902,20451621555142,0,never,20,0,0.138284,3078996175645,39,31,21,5
14,0.313382,40,0.926300,876,34,604,2000,10202339924104,89806621871872,19406244089457,0,never,20,0,0.313382,3073826802198,46,41,14,3
15,0.200396,40,0.952360,905,19,630,2000,10155250612312,85396630550427,18284590648697,0,never,20,0,0.200396,2919725890981,47,39,13,2
16,0.158268,40,0.999438,865,25,595,2000,10126567011010,89874587296677,16872774226356,0,never,25,0,0.158268,2933473857707,44,40,16,2
17,0.201423,40,0.927415,872,20,629,2000,10141598195368,81774102398312,16812961860253,0,never,15,0,0.201423,2947443502316,44,39,16,0
18,0.228029,40,0.944407,893,23,652,2000,10117735983387,85054510763527,14992801138239,0,never,20,0,0.228029,2906664949676,46,36,14,4
19,0.132375,40,0.971402,890,22,629,2000,10136663070847,88552613853322,18691953500817,0,never,20,0,0.132375,2939068264148,49,47,11,1
20,0.165770,40,0.946738,934,24,650,2000,10195436536780,97899059100994,22695086719153,0,never,25,0,0.165770,3088798532340,48,43,12,2
21,0.199358,40,0.970351,927,26,640,2000,10128651207892,81101410718261,13730988966595,0,never,20,0,0.199358,2830568483856,49,44,11,2
22,0.230175,40,0.902388,943,24,624,2000,10177107291905,94395186977228,20233870505025,0,never,25,0,0.230175,3007453778960,46,39,14,3
23,0.132293,40,0.983068,883,8,601,2000,10166085208230,90754587627288,18531409777670,0,never,25,0,0.132293,3036232346566,50,45,10,2
24,0.270987,40,0.894901,903,29,613,2000,10176969683591,89788071850379,17003691580605,0,never,20,0,0.270987,3005567931901,43,35,17,3
25,0.224233,40,0.959287,928,27,639,2000,10181237685822,92173787430568,19210648557907,0,never,25,0,0.224233,2936272790908,43,36,17,1
26,0.169238,40,0.970908,902,23,612,2000,10196706719844,89572113364710,18237717501249,0,never,20,0,0.169238,2936180684019,43,38,17,6
27,0.164523,40,0.984775,868,21,602,2000,10170849749038,80575580684526,15274889412346,0,never,25,0,0.164523,2824290494049,45,39,15,1
28,0.203365,40,0.938916,937,27,651,2000,10195322277243,99011280357123,26096651834541,0,never,20,0,0.203365,3185354845810,42,36,18,4
29,0.173902,40,0.973255,884,22,611,2000,10162409368687,81499796108761,14787507259912,0,never,20,0,0.173902,2863564265353,40,35,20,3
30,0.215584,40,0.903174,972,27,675,2000,10194751663833,82248043596113,18605642218616,0,never,15,0,0.215584,2931478404354,38,33,22,3
31,0.248330,40,0.898718,911,23,636,2000,10166219750194,87818633154496,18283411491615,0,never,25,0,0.248330,3025968987074,46,39,14,2
32,0.171898,40,0.962183,902,14,636,2000,10153259287750,82737659871012,15390456102501,0,never,20,0,0.171898,2831233729028,43,40,17,3
33,0.221809,40,0.940142,913,28,624,2000,10148933470000,85859929237368,16697062777900,0,never,20,0,0.221809,2935807497900,44,37,16,2
34,0.178782,40,0.918192,966,26,637,2000,10131613206967,85744686271621,17199479912240,0,never,25,0,0.178782,2966837082717,46,36,14,2
35,0.130242,40,0.950945,854,22,596,2000,10123282022814,87226527430340,17241814783418,0,never,25,0,0.130242,2879820155795,45,39,15,2
36,0.178684,40,0.939663,947,21,659,2000,10144783166210,86181257129252,18093117782283,0,never,20,0,0.178684,2918409129781,39,29,21,1
37,0.162527,40,0.956831,885,27,629,2000,10134957504032,88700007811049,18112963848052,0,never,20,0,0.162527,3010138452055,45,38,15,2
38,0.130372,40,0.955397,912,20,634,2000,10179068842894,95601717610907,19294726211459,0,never,15,0,0.130372,3008652052831,39,36,21,4
