seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.209837,595,0.207635,3769,48,1580,2001,320219264525,108369639752557,181972741033838,0,never,485,0,0.209837,4162912406170,27,20,33,16
2,0.224626,595,0.224655,3655,39,1504,2001,314299193926,95013885574820,162953448702924,0,never,480,0,0.224626,3975998158531,22,17,38,12
3,0.210442,595,0.208158,3784,59,1544,2001,330909581577,99486541635467,191629222238840,0,never,490,0,0.210442,4267706386687,22,16,38,20
4,0.201203,595,0.199020,3721,58,1526,2001,288637711795,90687584163492,161667449224811,0,never,480,0,0.201203,4007946581830,30,19,30,8
5,0.208258,595,0.205974,3753,55,1564,2001,362549190977,95830784355698,178103905022448,0,never,480,0,0.208258,4086759494791,25,18,35,13
6,0.216926,595,0.214573,3875,56,1514,2001,254063379059,90920951930521,150249602480293,0,never,485,0,0.216926,3928138867979,32,21,28,10
7,0.206302,595,0.204136,3650,56,1527,2001,309024946322,97038252744227,167290583336466,0,never,485,0,0.206302,4040505438314,25,21,35,15
8,0.191680,595,0.189598,3657,54,1550,2001,288302675533,89170492994404,159832108672348,0,never,480,0,0.191680,3986627999213,26,20,34,12
9,0.217241,590,0.214884,3912,50,1592,2001,388029955174,98544935804115,183646223203754,0,never,480,0,0.217241,4137019527237,20,16,40,22
10,0.226283,595,0.222830,3849,52,1494,2001,365901549641,106006416203678,172780262528507,0,never,480,0,0.226283,4071774238744,24,17,36,15
11,0.225138,590,0.222739,3823,46,1585,2001,349395504752,102313157568511,188963415810209,0,never,490,0,0.225138,4170344793248,22,18,38,12
12,0.216054,590,0.213735,3546,72,1566,2001,313413914138,96308479003055,168552299531849,0,never,485,0,0.216054,4043783534015,25,20,35,15
13,0.206621,590,0.204343,3679,59,1568,2001,383389890873,93548149822048,179208580324141,0,never,485,0,0.206621,4158971750275,25,20,35,17
14,0.202290,595,0.200098,3618,56,1540,2001,307206820059,97316578097009,176718984639600,0,never,485,0,0.202290,4036245625109,21,17,39,16
15,0.202696,590,0.200478,3805,58,1545,2001,277099755384,93305659863896,171503583263178,0,never,485,0,0.202696,4041651365688,29,22,31,10
16,0.220815,595,0.218418,3919,51,1553,2001,358082701443,95634680966530,164234289406922,0,never,480,0,0.220815,3967939126749,26,23,34,13
17,0.194774,590,0.192671,3647,56,1569,2001,310437270321,90171860724850,166221494648086,0,never,480,0,0.194774,4089635162315,31,25,29,11
18,0.204968,595,0.202859,3866,55,1525,2001,276276190867,91946370783011,158281614137929,0,never,485,0,0.204968,3972621816904,23,16,37,8
19,0.211324,595,0.209004,3809,43,1532,2001,339058344605,95468036145328,172434649864317,0,never,485,0,0.211324,3995760925267,24,17,36,10
20,0.216734,595,0.214401,3637,64,1521,2001,352513615535,103734491115269,188869193822148,0,never,485,0,0.216734,4145295313545,26,21,34,15
21,0.198222,595,0.196112,3655,50,1521,2001,264918336695,89308618649971,152873515266051,0,never,480,0,0.198222,3918481126072,26,20,34,13
22,0.198253,595,0.198156,3582,48,1526,2001,376592591605,101664121711962,180617087807422,0,never,480,0,0.198253,4161290112581,24,18,36,15
23,0.213628,595,0.211342,3960,51,1539,2001,303648196971,97738973325280,170792572036480,0,never,485,0,0.213628,4139463394511,25,20,35,12
24,0.203268,595,0.201189,3970,48,1522,2001,281949539654,96422639543390,166396424105787,0,never,480,0,0.203268,4103263082392,22,18,38,13
25,0.219751,595,0.217404,3615,60,1542,2001,340226734237,97606984194696,174036918239142,0,never,485,0,0.219751,4071312579177,26,19,34,13
26,0.209409,590,0.207184,3977,55,1545,2001,357109322792,96650610293284,171191843104311,0,never,480,0,0.209409,4074186907401,32,25,28,13
27,0.198872,590,0.196702,3973,52,1522,2001,337333605467,89122691823694,159270136516385,0,never,485,0,0.198872,3974971170176,19,13,41,18
28,0.213207,590,0.210965,3903,55,1563,2001,374394231952,105082617620587,205020886645333,0,never,490,0,0.213207,4249424667954,21,11,39,15
29,0.195282,595,0.193153,3593,60,1548,2001,281689363099,90389290206028,157301643032423,0,never,480,0,0.195282,3980863233403,25,20,35,15
30,0.188296,595,0.186227,3785,48,1556,2001,282582055805,91596063136382,173811113130701,0,never,485,0,0.188296,4061358926930,28,20,32,10
31,0.200178,590,0.198096,4034,45,1534,2001,311919332080,95001280364322,172155122345551,0,never,480,0,0.200178,4114305667417,22,16,38,15
32,0.206906,590,0.204764,3755,54,1559,2001,284823302308,89682834947245,159850556229188,0,never,480,0,0.206906,3971990979201,29,21,31,14
33,0.199007,590,0.196866,3801,65,1563,2001,299620699890,93852441261051,165363023699702,0,never,480,0,0.199007,4006763094960,30,22,30,10
34,0.203431,590,0.201252,4090,57,1535,2001,285969517753,92694698067515,167392346593779,0,never,480,0,0.203431,4055609815262,27,23,33,13
35,0.210251,595,0.207947,3875,52,1517,2001,289201161285,93931862703234,166027133270168,0,never,490,0,0.210251,3963135121819,21,19,39,15
36,0.207626,595,0.205424,3932,60,1547,2001,324648615909,93089806713183,169955984613958,0,never,480,0,0.207626,4046554117228,21,18,39,14
37,0.202031,595,0.199897,3643,54,1556,2001,351348438595,96797323658159,170173924794531,0,never,480,0,0.202031,3994719191535,28,21,32,11
38,0.220137,590,0.217898,3626,46,1546,2001,354186227672,100720437318261,175037601580339,0,never,485,0,0.220137,4099461729550,23,17,37,13
39,0.213818,595,0.211580,3626,60,1551,2001,305583628420,95736860054270,168911387308341,0,never,485,0,0.213818,4028588914726,23,20,37,13
40,0.200628,590,0.198434,3924,54,1545,2001,349041453114,94636443240357,178545434455581,0,never,485,0,0.200628,4064569552786,28,23,32,16
41,0.191600,595,0.189507,3874,56,1524,2001,292917830819,90903017334707,167627358028800,0,never,480,0,0.191600,4061057252774,28,21,32,12
42,0.205842,590,0.203602,3883,42,1518,2001,316826961481,97349211438101,190790441712985,0,never,485,0,0.205842,4229366703235,24,20,36,17
43,0.206803,595,0.204720,3653,56,1551,2001,301011183427,99121677717524,168823813492043,0,never,480,0,0.206803,4134150460504,22,16,38,17
44,0.201922,590,0.199754,3795,50,1536,2001,393872355079,95121131536989,172085320362014,0,never,480,0,0.201922,4014886714390,21,16,39,10
45,0.203540,595,0.201400,3667,40,1538,2001,298515004923,95630322739706,162403460815922,0,never,480,0,0.203540,4088313527856,22,17,38,16
46,0.199329,595,0.197143,3596,53,1565,2001,326061220213,95468474922381,188095928272692,0,never,495,0,0.199329,4234868456913,28,24,32,15
47,0.203828,595,0.201657,3980,57,1553,2001,330171910465,99653161141126,179808708536439,0,never,485,0,0.203828,4170807615133,28,20,32,15
48,0.212633,595,0.212658,3690,53,1506,2001,303833973966,98801020346536,163873083095231,0,never,480,0,0.212633,4049751419710,25,20,35,13
49,0.191696,595,0.189616,3907,53,1531,2001,327715098122,91208009493910,166305166991135,0,never,480,0,0.191696,4025903527757,29,23,31,9
50,0.213392,595,0.211048,3795,60,1538,2001,335764935329,101837731057003,194043905074821,0,never,490,0,0.213392,4158957924735,28,20,32,11
51,0.208667,595,0.206371,3644,46,1524,2001,368322823109,98392550222858,184169525461109,0,never,485,0,0.208667,4122369610768,27,21,33,11
52,0.219764,590,0.217417,3963,38,1555,2001,359954409025,106511867470577,187730534602987,0,never,485,0,0.219764,4125526529179,24,17,36,15
53,0.227351,595,0.227362,3682,45,1520,2001,386949288923,102782473940766,188713676034572,0,never,490,0,0.227351,4136529701566,21,14,39,16
54,0.213227,590,0.210921,3927,58,1544,2001,377550111576,98400157454160,187610494871958,0,never,485,0,0.213227,4083749134277,26,18,34,12
55,0.203329,590,0.201115,3878,62,1530,2001,284700858204,89906222283486,166300874462256,0,never,485,0,0.203329,4033058657280,26,17,34,17
56,0.193793,590,0.191666,3866,51,1547,2001,269792621368,89908172055499,160152192171333,0,never,480,0,0.193793,4021724156305,24,20,36,12
57,0.229188,595,0.226776,3795,55,1533,2001,360397293425,101643812256059,177610587294851,0,never,490,0,0.229188,4087906649079,20,17,40,16
58,0.199713,595,0.197558,3824,51,1533,2001,258932377258,93145484243656,158122839678881,0,never,480,0,0.199713,3965049652217,24,17,36,12
59,0.224295,590,0.222053,3925,49,1567,2001,337336343048,96380674679863,176142052609586,0,never,485,0,0.224295,4072693240843,25,20,35,14
60,0.200408,590,0.198276,4027,56,1534,2001,318092715011,97583446929014,174414044546667,0,never,485,0,0.200408,4152864758714,25,19,35,11
61,0.211193,595,0.208922,3667,54,1521,2001,299777855690,95108507316389,169860293623064,0,never,485,0,0.211193,4040408502838,25,20,35,15
62,0.214018,595,0.211693,3711,43,1548,2001,413687919646,101310343453580,193119491174590,0,never,485,0,0.214018,4106365272750,23,15,37,22
63,0.209561,595,0.207306,3691,51,1539,2001,303170707139,100697082219060,173796519289928,0,never,490,0,0.209561,4134153682410,23,17,37,19
64,0.193602,595,0.191510,3762,56,1564,2001,285362290232,90337807207464,167796948847915,0,never,480,0,0.193602,4014055816310,29,25,31,8
65,0.199419,590,0.197285,3720,66,1528,2001,288862483715,92963507578335,171287283149058,0,never,480,0,0.199419,4065857278890,29,22,31,10
66,0.205956,595,0.203720,3800,57,1527,2001,326539895457,93650945336678,169725812728460,0,never,485,0,0.205956,4065845595491,28,21,32,15
67,0.213007,590,0.210754,3660,49,1542,2001,309328368168,94737893013403,166699756317442,0,never,485,0,0.213007,4018032194459,26,19,34,13
68,0.225901,595,0.226051,3730,68,1507,2001,417911378651,105025329561808,192022275502595,0,never,485,0,0.225901,4127072011896,20,14,40,13
69,0.216365,595,0.214022,3524,48,1562,2001,355332146242,98117763926693,177805078941043,0,never,490,0,0.216365,4024441547238,21,17,39,18
70,0.198805,595,0.196642,3725,53,1554,2001,269880537500,90119467556118,156704398471193,0,never,480,0,0.198805,4012549815631,23,15,37,14
71,0.215662,595,0.213379,3849,71,1538,2001,327220555136,101185057350804,180496582828710,0,never,485,0,0.215662,4140269177071,27,22,33,10
72,0.210776,595,0.208594,3859,52,1542,2001,367324881436,104428965143213,205494998075503,0,never,490,0,0.210776,4308107560849,27,22,33,15
73,0.191420,595,0.189359,3707,46,1531,2001,299599696723,92545274441186,175327194497022,0,never,480,0,0.191420,4163156639539,16,11,44,22
74,0.223352,595,0.220941,3987,58,1544,2001,391446646776,107607505581641,185233451867267,0,never,490,0,0.223352,4154897462369,24,19,36,11
75,0.213820,595,0.213806,4050,54,1519,2001,285220906629,93942414584086,164623105394831,0,never,480,0,0.213820,4032482145263,29,24,31,12
76,0.205891,590,0.203650,4074,51,1521,2001,326578757304,93302067406772,168314651539461,0,never,480,0,0.205891,4040987468705,26,21,34,14
77,0.212419,590,0.210116,3781,44,1540,2001,325814875644,95986359368537,168416405689220,0,never,485,0,0.212419,3979513301561,21,17,39,14
78,0.216412,590,0.214201,3828,68,1538,2001,303429234789,92739865553954,157674144610101,0,never,480,0,0.216412,3957146506633,28,21,32,11
79,0.200447,595,0.198257,4025,56,1530,2001,325609487183,95582850681552,169616603000351,0,never,480,0,0.200447,4067722677653,30,24,30,15
80,0.200499,585,0.197288,3734,40,1493,2001,271757921956,90761742353640,157740181741190,0,never,480,0,0.200499,3968284220427,27,20,33,13
81,0.210805,590,0.208583,3621,63,1533,2001,309043092881,93703978325667,166976866099468,0,never,480,0,0.210805,4006594633405,25,19,35,15
82,0.204400,595,0.202173,3936,52,1528,2001,295211627011,89780592732790,157797074042389,0,never,485,0,0.204400,3966450118105,20,17,40,13
83,0.188436,595,0.186389,3661,54,1538,2001,296489156487,90295913197329,164334241076077,0,never,480,0,0.188436,3987436638579,22,16,38,17
84,0.199516,590,0.197405,3694,57,1537,2001,311290258430,91499181568289,160649834944866,0,never,480,0,0.199516,3972416665286,27,25,33,9
85,0.192818,595,0.190730,3789,58,1538,2001,318151090198,94188170118436,167254290454587,0,never,480,0,0.192818,4069407788877,29,20,31,16
86,0.206561,590,0.204351,3624,55,1554,2001,301928096175,93672760160329,168831784143264,0,never,485,0,0.206561,4039123833293,30,22,30,11
87,0.214003,590,0.211668,3893,49,1563,2001,463074467383,106103230394658,219655629373746,0,never,490,0,0.214003,4343705613800,16,14,44,16
88,0.198078,590,0.195956,4213,43,1517,2001,281379803069,89370256665586,158365941392251,0,never,480,0,0.198078,3971990125556,23,20,37,14
89,0.209733,595,0.207553,3926,49,1550,2001,331312811900,92574273492181,159654221233879,0,never,480,0,0.209733,3956336859256,24,17,36,15
90,0.188435,595,0.186404,4086,57,1556,2001,285352724013,86656405115325,159280460462315,0,never,480,0,0.188435,3937443658953,24,17,36,12
91,0.204193,595,0.201976,3900,47,1544,2001,280504912794,89355759134837,158308770669884,0,never,480,0,0.204193,3994186513754,25,17,35,15
92,0.206331,595,0.204190,3675,73,1510,2001,319798921587,95935956483331,163432500267302,0,never,480,0,0.206331,4010395152634,22,16,38,14
93,0.206089,595,0.203853,3460,59,1558,2001,298724250561,96117448544814,183325724529944,0,never,480,0,0.206089,4074272110961,18,12,42,16
94,0.206570,595,0.204412,3574,55,1570,2001,309496372174,94771881279070,165703082019577,0,never,485,0,0.206570,4007604582276,28,19,32,12
95,0.225482,595,0.223011,3514,51,1549,2001,347280060587,101203635195598,186761177716428,0,never,485,0,0.225482,4225528612347,21,18,39,14
96,0.197414,590,0.195272,3856,63,1520,2001,341278944681,89991514045072,166726467532366,0,never,480,0,0.197414,3959400404776,22,16,38,12
97,0.213506,590,0.211215,4084,47,1530,2001,326814677799,101208412303803,179912875816349,0,never,485,0,0.213506,4120274318290,21,19,39,16
98,0.206889,595,0.204670,3952,56,1544,2001,306281677760,93465324973307,165120730477301,0,never,480,0,0.206889,3989057863253,25,17,35,17
99,0.199791,595,0.197613,3734,31,1527,2001,346900800079,90964123438487,167970445717509,0,never,480,0,0.199791,3977073244468,26,20,34,19
