seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.487342,13,0.952402,1097,99,387,2000,10318903441941,109646324903919,12083714693463,0,never,4,0,0.487342,3118020354284,253,245,47,0
2,0.516917,13,0.995574,948,83,316,2000,10191761409548,97372593739977,9413820805838,0,never,0,0,0.516917,2904859234629,253,249,47,1
3,0.443678,12,0.908533,1073,90,358,2000,10465782501587,101775780147417,13720006355352,0,never,7,0,0.443678,3012556949484,255,254,45,0
4,0.536648,13,0.955901,1090,93,380,2000,10217011668955,89180388241948,9157659981063,0,never,0,0,0.536648,2861139488180,242,237,58,2
5,0.476522,14,0.951327,989,80,343,2000,10276279770606,96347411259285,11830273122100,0,never,6,0,0.476522,3017826994327,250,244,50,1
6,0.509174,14,0.968037,987,71,351,2000,10169777369912,88902009462990,9651194683776,0,never,0,0,0.509174,2876174269447,249,243,51,1
7,0.500552,16,0.987263,1081,93,380,2000,10270025850364,95851337194735,10509787480008,0,never,0,0,0.500552,2920610105596,244,236,56,1
8,0.509569,11,0.985793,1010,83,357,2000,10217231727221,85442986608993,9233579083552,0,never,0,0,0.509569,2860698676322,258,254,42,1
9,0.485575,12,0.888247,1163,87,392,2000,10355442455660,102521173222265,11842361818837,0,never,5,0,0.485575,3071274743186,244,235,56,0
10,0.472949,14,0.941534,960,103,350,2000,10303541385122,107590509214204,12722772405875,0,never,4,0,0.472949,3149724502992,256,248,44,1
11,0.485541,10,1.000000,1077,79,375,2000,10302297047518,106722516234205,12112778090955,0,never,3,0,0.485541,3016230148886,239,235,61,0
12,0.473492,13,0.968118,1003,62,329,2000,10231647155201,96600758839065,11171170051353,0,never,3,0,0.473492,2973245990788,250,248,50,3
13,0.497261,11,0.952807,1066,91,370,2000,10303142753104,95132336553636,10617141105121,0,never,1,0,0.497261,3074029536731,235,229,65,0
14,0.443021,13,0.949762,983,100,346,2000,10283325998474,95921684088890,12403047187924,0,never,4,0,0.443021,3082247490037,268,263,32,0
15,0.507633,12,0.954656,1088,83,368,2000,10231049161788,92520481489745,10699003684722,0,never,0,0,0.507633,2925576901641,259,255,41,1
16,0.520972,11,1.000000,954,78,325,2000,10218918743230,96823150786340,9441766698774,0,never,0,0,0.520972,2940902985139,254,252,46,1
17,0.507880,13,0.964923,1021,92,349,2000,10237416032209,87678124620179,9941468188670,0,never,0,0,0.507880,2956254477608,258,254,42,1
18,0.559284,13,0.978182,992,87,338,2000,10198243761366,90611943137621,8711429692705,0,never,0,0,0.559284,2913470524401,251,248,49,1
19,0.485084,12,0.976178,1057,92,376,2000,10261184718512,96020156269337,10823177904943,0,never,3,0,0.485084,2937464050980,243,239,57,0
20,0.335844,15,0.983019,1054,99,369,2000,10238858970865,101732602823951,17913525570500,0,never,7,0,0.335844,3084097889796,252,250,48,1
21,0.489252,13,0.985560,1036,84,362,2000,10188315262865,84648908667137,9859078985625,0,never,3,0,0.489252,2832498411419,258,253,42,1
22,0.466984,15,0.944711,1065,109,383,2000,10331285610678,101216670861788,11943484768774,0,never,1,0,0.466984,3005743403364,258,250,42,1
23,0.475351,12,0.992811,1030,83,359,2000,10257441998836,97235452420071,11729745410773,0,never,3,0,0.475351,3051635517868,255,252,45,0
24,0.483790,11,0.874983,998,101,349,2000,10296206029246,95286235179221,10970758244362,0,never,2,0,0.483790,3007261964294,259,242,41,0
25,0.486617,9,0.990842,1090,95,386,2000,10278046484683,98547758754670,12068273653340,0,never,4,0,0.486617,2942518514442,253,242,47,0
26,0.455110,12,0.978744,992,76,331,2000,10275759419720,96940065008763,10482963082450,0,never,3,0,0.455110,2934029985591,247,240,53,0
27,0.471779,13,0.978935,995,88,341,2000,10186660690144,85263678428839,10560887375877,0,never,6,0,0.471779,2831191376208,255,251,45,0
28,0.385155,12,0.986756,1064,105,373,2000,10349188316816,107725888414679,15843936868767,0,never,6,0,0.385155,3186131769174,254,250,46,0
29,0.544953,15,1.000000,1040,93,366,2000,10246492723359,86854007412643,8690095895426,0,never,0,0,0.544953,2868983663357,239,236,61,1
30,0.520991,16,0.891822,1113,103,387,2000,10341407374375,89578070070198,10458862383729,0,never,0,0,0.520991,2940257802881,245,239,55,0
31,0.470433,14,0.937304,1015,88,359,2000,10266011259919,93331709767925,11542434513397,0,never,2,0,0.470433,3027946888674,254,248,46,1
32,0.527449,16,0.963038,964,78,338,2000,10260612128730,88503283897155,9278405415395,0,never,0,0,0.527449,2831784822056,258,251,42,0
33,0.539179,11,0.931242,1051,81,360,2000,10252475216777,92712114333150,9387331992909,0,never,0,0,0.539179,2925118806158,248,242,52,1
34,0.500865,10,0.930244,1110,92,364,2000,10287365567898,91380252557646,10751055690897,0,never,0,0,0.500865,2963691430211,238,233,62,0
35,0.528423,12,0.994184,925,72,326,2000,10189671855812,94011174814735,9600823088689,0,never,0,0,0.528423,2893319470780,268,266,32,1
36,0.501220,11,0.989910,1108,84,379,2000,10227028095265,92753131771169,10452776434072,0,never,0,0,0.501220,2933078545933,256,248,44,0
37,0.459495,15,0.959108,1101,89,378,2000,10275043461442,94688488998461,11680100328653,0,never,4,0,0.459495,3014837022368,240,237,60,1
38,0.507837,12,0.978360,1024,82,352,2000,10281221704525,103451955826267,10713581729634,0,never,0,0,0.507837,3020610511131,256,249,44,1
39,0.494932,12,0.971888,1068,95,371,2000,10241193515614,96319934470346,10515153161957,0,never,1,0,0.494932,2932666294836,244,242,56,2
40,0.434031,11,0.900237,1114,100,387,2000,10383800404496,94183899137342,12049325835537,0,never,2,0,0.434031,3044912812105,242,236,58,2
41,0.518042,16,0.969555,1100,78,363,2000,10253348209363,88610011105348,9384921413091,0,never,0,0,0.518042,2962473505010,262,257,38,2
42,0.471852,13,0.933782,1113,91,389,2000,10327775694684,99422703343853,12594849938679,0,never,5,0,0.471852,3032676828826,239,234,61,1
43,0.431390,15,0.983737,980,93,347,2000,10248836988033,95432109004411,13523345010727,0,never,7,0,0.431390,2975325840137,253,245,47,1
44,0.498364,14,0.911069,965,91,346,2000,10306954364006,95754953708498,9689523628180,0,never,2,0,0.498364,2973549540989,252,250,48,1
45,0.516544,14,0.967893,1006,88,344,2000,10264428408984,94139742889493,9538987257509,0,never,0,0,0.516544,2883764738251,251,236,49,0
46,0.427672,10,0.845441,1036,86,359,2000,10376210752135,95572996101652,14107679555843,0,never,6,0,0.427672,3128136426472,257,250,43,3
47,0.478173,13,0.966953,1068,101,365,2000,10315579474614,98908202692698,12429919331864,0,never,3,0,0.478173,3173922698053,251,245,49,1
