seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.387094,4,1.000000,686,13,573,2000,10154435259403,97107606916570,22632811063377,0,never,6,0,0.387094,3139487052523,66,64,34,3
2,0.317963,7,1.000000,624,10,516,2000,10098640131405,86695197286940,17685012028575,0,never,10,0,0.317963,2923897357879,76,76,24,1
3,0.445136,8,1.000000,643,10,550,2000,10125241155244,89679434156462,24334697567604,0,never,2,0,0.445136,3032612336189,71,71,29,0
4,0.469763,5,1.000000,663,14,566,2000,10098105929386,79381276943155,16753801923442,0,never,4,0,0.469763,2883242692714,67,67,33,3
5,0.349439,8,1.000000,636,10,515,2000,10119627098739,84087751117861,22584820840706,0,never,10,0,0.349439,3037079851188,77,74,23,1
6,0.300165,9,1.000000,642,14,531,2000,10084338072173,78338225348028,19177196500697,0,never,11,0,0.300165,2895754757481,73,72,27,4
7,0.293186,8,1.000000,707,8,564,2000,10106838167808,84200362921233,18257756310638,0,never,6,0,0.293186,2940558887344,67,63,33,5
8,0.368103,5,1.000000,663,15,539,2000,10102004375795,75436732795685,17175341114279,0,never,9,0,0.368103,2880312474160,82,81,18,4
9,0.428150,9,0.993904,717,8,599,2000,10141057615857,91716469028794,21670141864917,0,never,5,0,0.428150,3090704458566,66,65,34,2
10,0.327771,6,1.000000,633,7,525,2000,10120056272355,94795824253761,24134981959652,0,never,11,0,0.327771,3172269207068,71,69,29,1
11,0.273856,8,1.000000,673,2,559,2000,10132973767379,93170633645400,22883724032567,0,never,6,0,0.273856,3036757310001,71,68,29,4
12,0.294101,9,1.000000,657,8,540,2000,10103844537168,84449569959076,21975167742881,0,never,11,0,0.294101,2994431162915,78,77,22,2
13,0.288995,8,1.000000,656,10,549,2000,10110619129280,84335190661537,19441733611716,0,never,4,0,0.288995,3095830612002,71,69,29,4
14,0.309711,5,1.000000,633,7,522,2000,10124101029850,82936834297017,24056886798347,0,never,10,0,0.309711,3102430492746,79,78,21,2
15,0.375599,8,1.000000,696,13,566,2000,10142526184083,81082890366816,20978479743532,0,never,7,0,0.375599,2943943337341,76,76,24,2
16,0.384303,9,1.000000,625,11,521,2000,10113201231271,86153608633731,17077490476579,0,never,6,0,0.384303,2959512788835,71,71,29,2
17,0.372857,3,1.000000,657,10,550,2000,10107031879772,77194491632075,18761114602445,0,never,8,0,0.372857,2975436188836,81,81,19,1
18,0.413784,9,1.000000,649,13,526,2000,10118580522325,80593575342555,16537805220360,0,never,6,0,0.413784,2931977472643,78,76,22,4
19,0.354580,5,1.000000,677,3,563,2000,10103144769651,84530977094853,19958723698165,0,never,5,0,0.354580,2957333407411,74,74,26,2
20,0.209964,7,1.000000,625,12,540,2000,10137908579574,81777346521036,36647338434090,0,never,13,0,0.209964,3101921371140,85,83,15,1
21,0.375580,8,1.000000,623,9,536,2000,10086864313820,73882021473293,19429492654963,0,never,12,0,0.375580,2850101683635,76,75,24,2
22,0.327645,7,1.000000,675,9,571,2000,10127081897597,89130449328755,22279073041072,0,never,4,0,0.327645,3024989478793,70,69,30,4
23,0.248436,8,1.000000,684,10,553,2000,10122872019298,83893454817991,20306794154506,0,never,9,0,0.248436,3071850601085,84,81,16,0
24,0.529156,9,0.994026,642,6,523,2000,10136920596734,85305030693410,19858348258031,0,never,0,0,0.529156,3026624538911,67,65,33,1
25,0.358656,8,1.000000,698,6,585,2000,10130336582254,84911840074261,22578943916787,0,never,4,0,0.358656,2960147949828,71,69,29,3
26,0.323419,4,1.000000,628,10,522,2000,10135023228511,85874749852341,19677944021738,0,never,6,0,0.323419,2953494964931,69,68,31,4
27,0.291250,10,1.000000,634,9,516,2000,10091009319339,73771905292871,20846262947987,0,never,13,0,0.291250,2851834912560,75,75,25,2
28,0.240849,4,1.000000,661,13,560,2000,10147690271529,90371332092279,30827579819122,0,never,8,0,0.240849,3208248207372,77,76,23,2
29,0.379073,7,1.000000,644,5,545,2000,10105982732537,77632063702619,15800399869919,0,never,6,0,0.379073,2888990560014,73,71,27,2
30,0.354419,8,1.000000,670,10,555,2000,10117701523454,80390036701809,18446394380795,0,never,6,0,0.354419,2957387351230,76,75,24,2
31,0.310262,6,1.000000,651,11,537,2000,10115843070515,81802096781866,22173307202951,0,never,11,0,0.310262,3048670574206,71,68,29,3
32,0.350607,8,1.000000,630,5,514,2000,10100416851449,79006650094456,16973532243689,0,never,2,0,0.350607,2850431404649,78,78,22,2
33,0.469254,8,1.000000,666,13,562,2000,10098895546166,83316335797652,16700058852633,0,never,3,0,0.469254,2945828209516,73,73,27,2
34,0.417015,8,1.000000,702,13,588,2000,10100432485627,80817461405851,20252331224372,0,never,4,0,0.417015,2985109406335,72,72,28,1
35,0.366582,9,1.000000,610,13,506,2000,10135796854443,82450141193213,18445951147125,0,never,7,0,0.366582,2913988123934,84,80,16,1
36,0.275741,8,1.000000,676,11,570,2000,10116061710154,80577133362378,19689290392394,0,never,8,0,0.275741,2952768678128,69,68,31,2
37,0.262907,7,1.000000,732,15,588,2000,10110000896953,82464352434172,22205750530411,0,never,11,0,0.262907,3034364758700,77,75,23,2
38,0.332231,8,1.000000,665,14,553,2000,10120583942991,91376356718808,19697982316917,0,never,6,0,0.332231,3040735533786,71,71,29,2
39,0.337712,9,1.000000,658,4,547,2000,10109721271391,84902243661693,20163961902610,0,never,8,0,0.337712,2949766224569,77,77,23,0
40,0.414189,11,1.000000,695,13,583,2000,10112329044594,83260928114216,21308633640960,0,never,7,0,0.414189,3063227024809,66,65,34,1
41,0.258887,8,1.000000,686,14,575,2000,10097538623132,78577776385816,16430125501165,0,never,4,0,0.258887,2981487349451,76,74,24,1
42,0.318026,9,1.000000,687,6,567,2000,10132593164787,86619013173768,24015209313698,0,never,7,0,0.318026,3055101119340,72,70,28,4
43,0.271773,8,1.000000,666,12,533,2000,10123832134807,80559360471593,26640595675906,0,never,11,0,0.271773,2994717972414,66,65,34,4
44,0.339859,6,1.000000,630,8,514,2000,10113115414461,86826326316810,17422392217935,0,never,4,0,0.339859,2992574496717,81,81,19,3
45,0.381189,6,1.000000,596,7,518,2000,10112185230646,84186532929236,17440140546280,0,never,5,0,0.381189,2903186503096,68,65,32,3
46,0.423938,8,0.937234,643,6,523,2000,10212612517188,83948264993170,25303761823970,0,never,3,0,0.423938,3148106146800,77,76,23,1
47,0.287926,5,1.000000,674,13,563,2000,10134924847376,85763405054411,23486266684072,0,never,9,0,0.287926,3195647907525,69,68,31,6
48,0.276910,9,1.000000,615,6,514,2000,10105485399323,86482071787059,21552410435565,0,never,13,0,0.276910,2971895097748,77,77,23,3
49,0.304949,9,1.000000,684,11,575,2000,10109556489760,75522406360169,22116349670710,0,never,10,0,0.304949,2983225826552,80,80,20,2
50,0.448303,9,1.000000,672,12,543,2000,10154079205791,91042852876648,26602584309415,0,never,3,0,0.448303,3225045295352,75,74,25,4
51,0.339782,8,1.000000,672,9,556,2000,10138187435566,87075881380786,22850202276598,0,never,7,0,0.339782,2981868895132,75,74,25,1
52,0.367630,7,1.000000,637,8,542,2000,10129179286461,99801777753105,21779369304459,0,never,5,0,0.367630,3096685870451,80,78,20,2
53,0.269776,5,1.000000,616,8,508,2000,10133337538970,94177418209000,24077504494485,0,never,7,0,0.269776,3079648491122,72,70,28,3
54,0.380333,4,1.000000,646,9,543,2000,10139406893830,88536038664224,21733545127333,0,never,2,0,0.380333,3077184376585,76,73,24,2
55,0.379515,8,1.000000,685,9,553,2000,10098274267539,79318154546234,16603326887741,0,never,5,0,0.379515,2877164919225,75,74,25,5
56,0.452491,8,1.000000,652,9,544,2000,10103901460007,78778931317762,16106922058684,0,never,1,0,0.452491,2937550931601,78,76,22,2
57,0.345212,10,1.000000,641,7,537,2000,10124564333500,88490695975958,27305927350096,0,never,13,0,0.345212,3027991982797,79,79,21,1
58,0.421349,5,1.000000,639,10,536,2000,10109507349558,80077536767089,17717383261584,0,never,4,0,0.421349,2916158698533,67,64,33,2
59,0.339284,9,1.000000,661,11,556,2000,10113700470210,89198779120638,19824856716598,0,never,5,0,0.339284,2988505632875,73,71,27,2
60,0.388690,8,1.000000,658,14,539,2000,10137560445030,87416321784008,19302254657307,0,never,1,0,0.388690,3116284950100,78,76,22,7
61,0.274142,10,1.000000,632,13,525,2000,10104917682759,80312951331929,23321978278869,0,never,12,0,0.274142,2978167999278,81,81,19,0
62,0.420911,5,1.000000,716,9,580,2000,10153764738337,90852901567124,24303862737914,0,never,5,0,0.420911,3124650381333,74,72,26,3
63,0.289749,4,1.000000,645,10,532,2000,10127847466961,81166950896356,29209158317461,0,never,12,0,0.289749,3063950736202,72,70,28,0
64,0.309440,6,1.000000,683,8,568,2000,10105448224431,73058341514236,23584151109737,0,never,11,0,0.309440,2996673019279,80,80,20,2
65,0.301154,5,0.988447,615,6,518,2000,10107542689748,84648833833154,17490455703810,0,never,3,0,0.301154,2947329244091,73,72,27,7
66,0.388549,4,1.000000,667,17,555,2000,10139641183933,84096689216855,19287733952218,0,never,7,0,0.388549,2995851450325,76,73,24,3
67,0.325655,5,1.000000,642,15,541,2000,10100779198150,82397173002602,20483152265468,0,never,12,0,0.325655,2964960380291,81,80,19,1
68,0.375093,9,1.000000,646,13,529,2000,10139680633534,98315593097531,23546885227233,0,never,7,0,0.375093,3153936067729,77,75,23,1
69,0.336100,11,1.000000,692,11,555,2000,10118213032311,83498053496976,26363795729105,0,never,13,0,0.336100,3025645183855,77,76,23,4
70,0.334907,8,1.000000,684,12,572,2000,10092538593866,76960489678270,15828688787097,0,never,6,0,0.334907,2883149092531,81,79,19,2
71,0.288238,4,1.000000,689,17,581,2000,10128073233631,83115871890125,29340144686833,0,never,13,0,0.288238,3053720128701,75,74,25,2
72,0.218523,8,1.000000,681,7,557,2000,10141987621043,96258110831462,23923701027995,0,never,7,0,0.218523,3282151079642,74,73,26,3
73,0.298511,9,0.991275,612,12,523,2000,10110544922949,82223479681933,18875268390079,0,never,8,0,0.298511,3094837437071,75,74,25,2
74,0.342761,7,1.000000,613,15,511,2000,10135565148560,96045028223915,26002514604001,0,never,10,0,0.342761,3132528715045,75,71,25,3
