seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.549237,505,0.550466,22424,0,19,2000,10459028923283,103227188721030,32313670447190,0,never,0,0,0.549237,3112709204313,299,237,1,1
2,0.651955,503,0.654232,20177,0,10,2000,10305378358791,90827084381626,24156665923085,0,never,0,0,0.651955,2900569652222,300,230,0,0
3,0.445021,504,0.446057,21034,0,11,2000,10572762707137,96832690205066,38786944044277,0,never,146,0,0.445021,3007735492174,298,239,2,2
4,0.557076,505,0.558775,21656,0,17,2000,10335469802672,84339810387401,24116912476870,0,never,0,0,0.557076,2856958729882,299,223,1,1
5,0.625609,502,0.632553,20510,0,19,2000,10361969009481,87799240549221,31170425938131,0,never,0,0,0.625609,3013115005715,300,229,0,0
6,0.727183,503,0.738888,20543,0,11,2000,10224648465707,80114193489443,24463326764019,0,never,0,0,0.727183,2872601713710,299,231,1,1
7,0.537287,507,0.537928,22061,0,10,2000,10403627061360,90969423700396,28115740965335,0,never,0,0,0.537287,2916424253373,300,215,0,0
8,0.600010,503,0.604727,21021,0,16,2000,10305564724677,79645721038455,24492568761755,0,never,0,0,0.600010,2853208076912,300,234,0,0
9,0.489508,506,0.491185,23329,0,18,2000,10470408126086,97061103260359,32297505116329,0,never,104,0,0.489508,3063767751881,300,231,0,0
10,0.604396,503,0.612293,20486,0,13,2000,10401182469257,98661444200534,33987536004259,0,never,0,0,0.604396,3143917124343,300,232,0,0
11,0.594921,506,0.598517,21570,0,15,2000,10426472437850,99719104420538,32758298696500,0,never,0,0,0.594921,3009309063047,300,221,0,0
12,0.689589,503,0.699688,20901,0,10,2000,10292909130531,87071287241365,28988946837370,0,never,0,0,0.689589,2967680234128,300,229,0,0
13,0.527419,506,0.528216,21722,0,10,2000,10414073009728,90091587057325,28484381806489,0,never,0,0,0.527419,3070125087101,299,221,1,1
14,0.619671,503,0.627827,20641,0,16,2000,10389492447172,86895398098687,32970973546650,0,never,0,0,0.619671,3075735139409,300,242,0,0
15,0.645005,503,0.649736,22009,0,16,2000,10334301918650,84608394681421,27738512014534,0,never,0,0,0.645005,2920981545099,300,227,0,0
16,0.622696,503,0.624913,19814,0,15,2000,10317620758000,91206556472568,24547852513312,0,never,0,0,0.622696,2932846626955,299,226,1,1
17,0.601338,503,0.606276,21167,0,16,2000,10331236563050,81236328839754,26292872579541,0,never,0,0,0.601338,2950864328379,300,232,0,0
