seed,slot,oracle_price,h,c_tot,pnl_pos_tot,insurance,open_interest,cum_liquidations,cum_force_closes
1,0,60000000000,1.000000,118222847877043,3143068572681,10107866550276,3557137456,0,0
1,5,59700000000,0.967694,118233000667955,3230969393668,10114191867584,3557137456,0,0
1,10,59400000000,0.879226,118236431406953,3550962830994,10115251185808,3557137456,0,0
1,15,59100000000,0.812014,118149802024298,3951568644870,10115251185808,3557137456,0,0
1,20,58800000000,0.817612,117656896822579,4527372987502,10115251185808,3557137456,0,0
1,25,58500000000,0.849739,117146058076464,4957373373022,10115251185808,3557137456,0,0
1,30,58200000000,0.845407,116710848073896,5497568989414,10115251185808,3557137456,0,0
1,35,57900000000,0.858995,116172374085877,6037474244142,10115251185808,3557137456,0,0
1,40,57600000000,0.879627,115649842527061,6489898959598,10115251185808,3557137456,0,0
1,45,57300000000,0.880347,115192784966961,7003771724134,10115251185808,3557137456,0,0
1,50,57000000000,0.891121,114701770163154,7470098874254,10115251185808,3557137456,0,0
1,55,56700000000,0.895264,114306347739065,7877214366902,10115251185808,3557137456,0,0
1,60,56400000000,0.904642,113745386948614,8415641847878,10115251185808,3557137456,0,0
1,65,56100000000,0.920463,113242135263525,8817729861526,10115251185808,3557137456,0,0
1,70,55800000000,0.913558,112841555495841,9322860065078,10115251185808,3557137456,0,0
1,75,55500000000,0.917913,112337539444887,9827718754822,10115251185808,3557137456,0,0
1,80,55200000000,0.928136,111844420666432,10250775480294,10115251185808,3557137456,0,0
1,85,54900000000,0.926128,111419923109711,10731291512478,10115313290335,3556911210,1,0
1,90,54600000000,0.931188,110956633029352,11170245009734,10115555885710,3556024531,2,0
1,95,54300000000,0.932389,110588244847064,11550933644510,10115577600740,3555944706,4,0
1,100,54000000000,0.937230,110055428791564,12059074123382,10116223926501,3553556075,10,0
1,105,53700000000,0.947529,109570039131101,12439663079838,10116801653245,3551408097,21,0
1,110,53400000000,0.941448,109200004089350,12912004051918,10117795662025,3547695135,34,0
1,115,53100000000,0.949061,108636135973102,13388631236982,10131022085883,3498038063,51,0
1,120,52800000000,0.953831,108184814924228,13788705887814,10136878926765,3475858779,68,0
1,125,52500000000,0.952095,107777746489578,14238030454366,10140077674454,3463723020,89,0
1,130,52200000000,0.949316,107423744472303,14650201510142,10142370630149,3454955022,115,0
1,135,51900000000,0.952037,107039340795046,15006178718686,10148006036588,3433253200,148,0
1,140,51600000000,0.954772,106535124572388,15481334561670,10157512013561,3396562562,183,0
1,145,51300000000,0.959102,106116906452017,15837218562238,10167372254742,3358171839,232,0
1,150,51000000000,0.953138,105788523685994,16278898731702,10169220215462,3350940564,271,0
1,155,50700000000,0.948452,105436431538310,16724586885590,10174885662136,3328650169,336,0
1,160,50400000000,0.949529,105057245240257,17098691716566,10180827483634,3305116182,416,0
1,165,50100000000,0.946356,104709109967388,17518849531302,10185611368514,3286074037,497,0
1,170,49800000000,0.944158,104374818572752,17904265560102,10194507390328,3250430895,599,0
1,175,49500000000,0.942724,104082716186394,18237135421142,10198476532609,3234424096,703,0
1,180,49200000000,0.939471,103720317730608,18681447741350,10202791575435,3216945399,821,0
1,185,48900000000,0.941468,103359890163478,19014230444870,10212604847674,3176944589,967,0
1,190,48600000000,0.934854,103093734610896,19427240079078,10218419226776,3153057357,1098,0
1,195,48300000000,0.929361,102808547337134,19843997529614,10223004349359,3134130628,1241,0
1,200,48000000000,0.927179,102520498451797,20193818305070,10229999964917,3105052936,1408,0
1,205,47700000000,0.922342,102249564332136,20586702652974,10236247384755,3078901928,1569,0
1,210,47400000000,0.917413,102015458091128,20947100388918,10241183764122,3058128166,1742,0
1,215,47100000000,0.913577,101806382336790,21258362856630,10246258185078,3036634954,1918,0
1,220,46800000000,0.909989,101499992445754,21673833782270,10250832923854,3017146182,2101,0
1,225,46500000000,0.906815,101280575959057,21985014750166,10256871801213,2991249758,2318,0
1,230,46200000000,0.899468,101090756974121,22371214923238,10260843693094,2974092223,2521,0
1,235,45900000000,0.893417,100874018136109,22760919632934,10264777013593,2957004484,2721,0
1,240,45600000000,0.889919,100657106986820,23088032690038,10270187821215,2933327529,2957,0
1,245,45300000000,0.886816,100393200349698,23455413958206,10279952879256,2890313490,3181,0
1,250,45000000000,0.881603,100212838792782,23792417399526,10285470610616,2865865196,3416,0
1,255,44700000000,0.876547,100069387809234,24083475062654,10294086582537,2827472607,3656,0
1,260,44400000000,0.871640,99840907842949,24471976758846,10302130800721,2791329216,3908,0
1,265,44100000000,0.866914,99699400634779,24762958212342,10307024502110,2769194818,4180,0
1,270,43800000000,0.858522,99590473528566,25124089191862,10313728225573,2738683300,4446,0
1,275,43500000000,0.850800,99468485910400,25488497219790,10319676402547,2711383393,4710,0
1,280,43200000000,0.845820,99333172197943,25794376571814,10323215875031,2695035178,5000,0
1,285,42900000000,0.838479,99229718572672,26137910227438,10327967467490,2672945731,5287,0
1,290,42600000000,0.832272,99126390589570,26453037954758,10331263848167,2657511194,5587,0
1,295,42300000000,0.825924,99065994936724,26725202356342,10334805521272,2640831657,5878,0
1,300,42000000000,0.819823,98927686297221,27088485461454,10338344657432,2624028265,6187,0
1,305,41700000000,0.816023,98802563425253,27360578600254,10344362291351,2595227117,6519,0
1,310,41400000000,0.807361,98763884707397,27698267688574,10347410379686,2580555100,6842,0
1,315,41100000000,0.799204,98712513685229,28039021104286,10352361852576,2556535856,7164,0
1,320,40800000000,0.795330,98585085349039,28325045082750,10360948806432,2514611185,7512,0
1,325,40500000000,0.787747,98542220836606,28646279132214,10365536564444,2492001649,7852,0
1,330,40200000000,0.781479,98488364840278,28940951151358,10368674094802,2476435799,8201,0
1,335,39900000000,0.774835,98479612064006,29195448698870,10372525812052,2457211771,8549,0
1,340,39600000000,0.767792,98420039548110,29535150212974,10376898971701,2435184537,8909,0
1,345,39300000000,0.762413,98382969248860,29789581123622,10378857310706,2425245642,9284,0
1,350,39000000000,0.753561,98405912601967,30105349990830,10381667682661,2410881659,9657,0
1,355,38700000000,0.745722,98402282290167,30423984272510,10383670044498,2400565607,10015,0
1,360,38400000000,0.741429,98325366014442,30691441738102,10392899877628,2352539674,10410,0
1,365,38100000000,0.734196,98324540583994,30991823703174,10395164002402,2340688480,10790,0
1,370,37800000000,0.727704,98320813219276,31267367844110,10399593381827,2317324979,11176,0
1,375,37500000000,0.721180,98351671363784,31505345336182,10401087849427,2309387970,11560,0
1,380,37200000000,0.713748,98355071210506,31822995997830,10405117240447,2287827926,11948,0
1,385,36900000000,0.709087,98327286433991,32060911178526,10412519408578,2247736778,12361,0
1,390,36600000000,0.701131,98373530726647,32356182719846,10414333305168,2237853762,12767,0
1,395,36300000000,0.692665,98436733998373,32654133674334,10418671331976,2214041466,13153,0
1,400,36000000000,0.686152,98475386222195,32904229824590,10421095425194,2200606296,13582,0
1,405,35700000000,0.679037,98516290744653,33185113264934,10423556152303,2186893875,13988,0
1,410,35400000000,0.672126,98569021446232,33442771164678,10427012909108,2167428254,14411,0
1,415,35100000000,0.666270,98615501072352,33665300958158,10428107308757,2161214408,14826,0
1,420,34800000000,0.658519,98677867496533,33962332141886,10431074265126,2144240977,15256,0
1,425,34500000000,0.652200,98745301522455,34184803668966,10433139029406,2132294808,15704,0
1,430,34200000000,0.645125,98807232307854,34460908415510,10434944912274,2121767324,16144,0
1,435,33900000000,0.636932,98910496834476,34739518648038,10436583922558,2112134420,16568,0
1,440,33600000000,0.631680,98939898365223,34973380448230,10441883851237,2080769734,17017,0
1,445,33300000000,0.624767,99014518174366,35236031060534,10444948093423,2062415421,17453,0
1,450,33000000000,0.617931,99105109386571,35476963758646,10446358768142,2053898700,17896,0
1,455,32700000000,0.612192,99179213943544,35685048601438,10448482294698,2040970471,18319,0
1,460,32400000000,0.604448,99285425026365,35962798767766,10450725631163,2027163297,18757,0
1,465,32100000000,0.598426,99376366212539,36170829126278,10451859724035,2020118123,19215,0
1,470,31800000000,0.591296,99480280483481,36429011241246,10453180336036,2011842091,19649,0
1,475,31500000000,0.584043,99591177769216,36689536205174,10454322810912,2004614207,20066,0
1,480,31200000000,0.577722,99695650491743,36908217466438,10455438317484,1997500886,20521,0
1,485,30900000000,0.571187,99795385517177,37153818787982,10456610381159,1989945274,20948,0
1,490,30600000000,0.564938,99899671723901,37379111957982,10457247525039,1985794774,21370,0
1,495,30300000000,0.559567,99990816678269,37573689506950,10457972017736,1981038269,21770,0
1,500,30000000000,0.552383,100116365877012,37833410233774,10458890795183,1974935758,22198,0
1,505,30000000000,0.549237,100220588911216,37860086698782,10459028918033,1974014939,22414,0
1,510,30000000000,0.549924,100345141781175,37586305598686,10459028923283,1974014904,22424,0
1,515,30000000000,0.550466,100510319847590,37249253471502,10459028923283,1974014904,22424,0
1,520,30000000000,0.550466,100671897145734,36955725072782,10459028923283,1974014904,22424,0
1,525,30000000000,0.550466,100851136860829,36630110353686,10459028923283,1974014904,22424,0
1,530,30000000000,0.550466,101014528524525,36333285899070,10459028923283,1974014904,22424,0
1,535,30000000000,0.550466,101159563698653,36069808647526,10459028923283,1974014904,22424,0
1,540,30000000000,0.550466,101346738734276,35729778277518,10459028923283,1974014904,22424,0
1,545,30000000000,0.550466,101490217077167,35469129233822,10459028923283,1974014904,22424,0
1,550,30000000000,0.550466,101666426743427,35149019034198,10459028923283,1974014904,22424,0
1,555,30000000000,0.550466,101841312587970,34831313747134,10459028923283,1974014904,22424,0
1,560,30000000000,0.550466,101992401510286,34556838991494,10459028923283,1974014904,22424,0
1,565,30000000000,0.550466,102160006338978,34252360716758,10459028923283,1974014904,22424,0
1,570,30000000000,0.550466,102312791851897,33974803860294,10459028923283,1974014904,22424,0
1,575,30000000000,0.550466,102448412439777,33728429558622,10459028923283,1974014904,22424,0
1,580,30000000000,0.550466,102623437487959,33410471388126,10459028923283,1974014904,22424,0
1,585,30000000000,0.550466,102757602302263,33166741708510,10459028923283,1974014904,22424,0
1,590,30000000000,0.550466,102922373770018,32867410641390,10459028923283,1974014904,22424,0
1,595,30000000000,0.550466,103085907348556,32570328378102,10459028923283,1974014904,22424,0
2,0,60000000000,1.000000,103929972216792,2927671405114,10078871378094,2641572666,0,0
2,5,59700000000,0.964901,103936853289011,3021389024579,10084321816484,2641572666,0,0
2,10,59400000000,0.905450,103950244395989,3204166329179,10085059594436,2641572666,0,0
2,15,59100000000,0.866359,103812366332840,3507885871494,10085059594436,2641572666,0,0
2,20,58800000000,0.825504,103633553737301,3898104178365,10085059594436,2641572666,0,0
2,25,58500000000,0.870264,103186560939260,4211245694373,10085059594436,2641572666,0,0
2,30,58200000000,0.877445,102792530768851,4625843847197,10085059594436,2641572666,0,0
2,35,57900000000,0.867017,102538846153270,4974074535133,10085059594436,2641572666,0,0
2,40,57600000000,0.897623,102079765478740,5315915853533,10085059594436,2641572666,0,0
2,45,57300000000,0.881782,101787045334611,5743382439293,10085059594436,2641572666,0,0
2,50,57000000000,0.899203,101411800497703,6049415520085,10085059594436,2641572666,0,0
2,55,56700000000,0.910206,101039774409400,6385019465389,10085059594436,2641572666,0,0
2,60,56400000000,0.903189,100748051409455,6757615823797,10085059594436,2641572666,0,0
2,65,56100000000,0.926600,100318524045429,7050430561829,10085059594436,2641572666,0,0
2,70,55800000000,0.928273,99946855038888,7438116138981,10085059594436,2641572666,0,0
2,75,55500000000,0.919116,99715648952652,7763742324973,10085086560221,2641475492,1,0
2,80,55200000000,0.936851,99278481983098,8083393891141,10085096471105,2641439583,2,0
2,85,54900000000,0.923953,99013417744574,8483112579797,10085096471105,2641439583,2,0
2,90,54600000000,0.934290,98658369415172,8769280308189,10085096471105,2641439583,2,0
2,95,54300000000,0.940812,98305611361661,9083099384357,10085414249114,2640271753,5,0
2,100,54000000000,0.934900,98032965487948,9431509605861,10086032023068,2637991249,10,0
2,105,53700000000,0.950368,97626594699668,9705317026197,10086295895400,2637011580,15,0
2,110,53400000000,0.950900,97275910148827,10067836988613,10087099693241,2634007787,26,0
2,115,53100000000,0.943771,97059022650782,10372325986053,10088387418373,2629168242,42,0
2,120,52800000000,0.956471,96640250032260,10671228190693,10089548048426,2624783395,61,0
2,125,52500000000,0.945105,96407493852878,11045000165925,10090340969112,2621770527,81,0
2,130,52200000000,0.951737,96078905274983,11312592050269,10090999473288,2619254051,96,0
2,135,51900000000,0.956175,95746519541420,11606040365981,10092590975320,2613138497,120,0
2,140,51600000000,0.950663,95498811464839,11931834431701,10094554065447,2605545675,153,0
2,145,51300000000,0.962230,95113253785707,12187868345637,10095728351179,2600980776,183,0
2,150,51000000000,0.961171,94798821302248,12526856254509,10097243249091,2595052268,221,0
2,155,50700000000,0.954369,94610086084192,12811580129725,10099450463137,2586367286,268,0
2,160,50400000000,0.963699,94218797248731,13091079864565,10101861407025,2576823165,330,0
2,165,50100000000,0.953499,94017371457438,13440589390813,10103550736010,2570091933,387,0
2,170,49800000000,0.958509,93708124888241,13690811234317,10105619260879,2561806943,459,0
2,175,49500000000,0.960560,93414568614120,13965211105309,10107518958958,2554153294,543,0
2,180,49200000000,0.955269,93193039089466,14269857084965,10111928841634,2536285800,635,0
2,185,48900000000,0.963806,92837295366491,14509271214149,10115090865314,2523375012,725,0
2,190,48600000000,0.961697,92560903419844,14826254592517,10117246942957,2514523012,832,0
2,195,48300000000,0.953826,92421023688025,15092496347605,10119878314370,2503659156,943,0
2,200,48000000000,0.959604,92080322255275,15353853073941,10122570541263,2492468126,1058,0
2,205,47700000000,0.951064,91895598346296,15680675085797,10127587785783,2471455792,1188,0
2,210,47400000000,0.953619,91629916660396,15914654419909,10130079814739,2460963919,1317,0
2,215,47100000000,0.956595,91327764259056,16171242327069,10139416531932,2421416196,1462,0
2,220,46800000000,0.949100,91175812339091,16456112994341,10142207596913,2409518682,1611,0
2,225,46500000000,0.953658,90881104280946,16679986169413,10148416525902,2382923050,1758,0
2,230,46200000000,0.948955,90673211088766,16976393384701,10153472173665,2361075912,1929,0
2,235,45900000000,0.940894,90573606283532,17225352739165,10155683054765,2351466213,2098,0
2,240,45600000000,0.943319,90295907015146,17469744164045,10161071244289,2327910746,2281,0
2,245,45300000000,0.931705,90209189916204,17775351363285,10165945116998,2306420752,2480,0
2,250,45000000000,0.933163,89976177323856,17994142529253,10168873529832,2293434842,2669,0
2,255,44700000000,0.931464,89777362513170,18234074690661,10174765367629,2267135893,2883,0
2,260,44400000000,0.923722,89669995859622,18500453709261,10177247611927,2255988366,3093,0
2,265,44100000000,0.925256,89442316939964,18709794731445,10182842125779,2230710110,3311,0
2,270,43800000000,0.919023,89299433796148,18986961432781,10187633350393,2208863882,3549,0
2,275,43500000000,0.911062,89235997759306,19219760229333,10190117328717,2197475414,3778,0
2,280,43200000000,0.910640,89031753301252,19448287611749,10194374284058,2177826375,4026,0
2,285,42900000000,0.898475,89008883087940,19734057103653,10197079192457,2165243651,4280,0
2,290,42600000000,0.898309,88824598796514,19938646002325,10200841907869,2147638686,4531,0
