seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.568418,13,1.000000,195,28,133,2000,10131459344298,111704384830265,8683090557166,0,never,0,0,0.568418,3127769788778,280,280,20,0
2,0.599535,13,1.000000,152,21,106,2000,10099326871330,99497762671326,7037828225390,0,never,0,0,0.599535,2914092149291,284,283,16,0
3,0.527901,16,1.000000,178,23,127,2000,10172615443810,102872099234416,9673501838210,0,never,0,0,0.527901,3014947142503,289,288,11,0
4,0.629986,13,1.000000,197,26,145,2000,10135045569844,90524798261781,6490262672238,0,never,0,0,0.629986,2870268099836,276,276,24,0
5,0.594357,14,1.000000,181,19,131,2000,10114582557978,99354939954514,8156035055432,0,never,0,0,0.594357,3018649307701,281,280,19,0
6,0.589682,14,1.000000,168,18,113,2000,10090609298281,90897677808122,6898675285220,0,never,0,0,0.589682,2878746920993,285,285,15,0
7,0.577790,16,1.000000,185,13,125,2000,10124117126143,98058299958852,7814974874589,0,never,0,0,0.577790,2924259284346,279,278,21,0
8,0.609061,11,1.000000,176,24,123,2000,10094825117072,87515953069958,6884310379403,0,never,0,0,0.609061,2867377170577,283,282,17,0
9,0.572743,13,1.000000,219,34,150,2000,10171281941850,103867223182144,8205253512939,0,never,0,0,0.572743,3072524463819,281,281,19,0
10,0.553957,14,1.000000,170,28,117,2000,10127743442178,109680057807625,8841134129939,0,never,0,0,0.553957,3149687401367,290,290,10,0
11,0.542741,17,1.000000,178,26,128,2000,10139929537267,109837196338082,9049861744138,0,never,0,0,0.542741,3033460506587,279,279,21,1
12,0.568800,13,1.000000,174,20,128,2000,10113817819034,98750026371558,7714744440363,0,never,0,0,0.568800,2976828862004,277,275,23,1
13,0.578848,16,1.000000,182,27,125,2000,10118525448595,96461001311552,7870942407402,0,never,0,0,0.578848,3077713848430,276,276,24,0
14,0.538440,14,1.000000,166,22,121,2000,10146155358955,98359030140409,8897757583476,0,never,0,0,0.538440,3082381909624,287,287,13,0
15,0.597131,12,1.000000,197,16,130,2000,10111443231060,94507582934994,7528793088582,0,never,0,0,0.597131,2929306102731,288,287,12,0
16,0.619215,11,1.000000,162,15,115,2000,10094628284557,99331629160438,7043531283316,0,never,0,0,0.619215,2939931806043,280,280,20,2
