seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.397100,11,0.737995,1526,142,589,2000,10336814199909,102629704628962,25077776533867,0,never,8,0,0.397100,3120399656122,155,138,45,2
2,0.428533,12,0.817219,1445,129,535,2000,10206919756800,91294554055399,18887270308430,0,never,4,0,0.428533,2906912311765,160,148,40,0
3,0.355639,9,0.630942,1485,131,544,2000,10375870888336,95416929660294,29977156244179,0,never,10,0,0.355639,3014651767449,154,143,46,0
4,0.444302,12,0.751812,1546,125,562,2000,10228421830111,83808779452083,18773339944413,0,never,5,0,0.444302,2863096106239,141,124,59,4
5,0.393480,10,0.773809,1406,124,524,2000,10275455258605,88897757604181,24172552348193,0,never,8,0,0.393480,3019842326387,161,150,39,0
6,0.428489,14,0.842097,1441,130,539,2000,10161379198736,82215969336885,19044304870976,0,never,7,0,0.428489,2877868027793,161,150,39,0
7,0.437357,11,0.745847,1578,134,578,2000,10264157328347,89927720725193,21861606908920,0,never,9,0,0.437357,2922603787120,141,126,59,3
8,0.415463,11,0.770060,1465,129,553,2000,10216450263836,79853305321993,19080153889063,0,never,7,0,0.415463,2862717397268,167,155,33,1
9,0.388619,10,0.662859,1631,143,614,2000,10336918486631,96466395840976,25031334140412,0,never,7,0,0.388619,3073354565265,153,130,47,1
10,0.388124,11,0.746847,1441,138,541,2000,10305830019970,99911780549129,26317793367134,0,never,9,0,0.388124,3152167954853,161,143,39,3
11,0.388331,10,0.775843,1535,123,564,2000,10322050097342,99708892978867,25418864836275,0,never,11,0,0.388331,3018441457341,150,141,50,0
12,0.391230,13,0.815066,1481,125,548,2000,10192222171403,89119799071296,22495593893996,0,never,7,0,0.391230,2975583890487,152,141,48,2
13,0.403884,11,0.718666,1575,119,552,2000,10320088535696,89291037628748,22180600734954,0,never,7,0,0.403884,3075912669359,151,131,49,2
14,0.358225,12,0.766552,1447,125,532,2000,10263525228403,88140950168892,25543565593719,0,never,9,0,0.358225,3084509040511,164,152,36,1
15,0.420877,12,0.796994,1551,116,577,2000,10228889947805,85560251042003,21551301186155,0,never,8,0,0.420877,2927589876134,155,140,45,1
16,0.426349,11,0.806491,1402,130,517,2000,10219783184340,91196723920407,19154510952485,0,never,5,0,0.426349,2942716942646,148,135,52,1
17,0.410963,11,0.769644,1456,139,547,2000,10211956923788,81571338575479,20431526965677,0,never,6,0,0.410963,2958632847411,165,153,35,3
18,0.477818,13,0.794929,1456,122,534,2000,10187866064263,85108406686248,17656016099570,0,never,5,0,0.477818,2915199116019,163,150,37,1
