seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.374316,33,1.000000,162,9,75,2000,10141926204021,108817553641638,7782938543174,0,never,2,0,0.374316,3003471783801,97,94,3,0
2,0.381925,33,1.000000,169,11,87,2000,10096896388163,98013540158018,6140215890120,0,never,7,0,0.381925,2800646680635,98,96,2,1
3,0.237013,34,1.000000,177,6,84,2000,10139501128161,98091686681440,14559264131502,0,never,10,0,0.237013,2903124390036,97,96,3,0
4,0.397798,30,1.000000,179,11,81,2000,10107689280448,87740084484541,7443771327941,0,never,8,0,0.397798,2759103851136,97,95,3,0
5,0.443611,33,1.000000,165,9,83,2000,10188100061946,92848954417026,10140646254445,0,never,6,0,0.443611,2909121653458,98,95,2,0
6,0.346885,32,1.000000,171,9,82,2000,10096347574039,86721610622272,7767550510877,0,never,6,0,0.346885,2770416635146,96,96,4,0
7,0.352540,34,1.000000,166,6,80,2000,10110053543791,94267839244833,10308278808028,0,never,6,0,0.352540,2814406416425,98,97,2,0
8,0.567837,32,1.000000,185,5,94,2000,10128071607841,85679761792498,4958086884772,0,never,0,0,0.567837,2756445845074,98,96,2,0
9,0.405328,31,1.000000,178,8,92,2000,10140758007951,99901938044859,9939127952692,0,never,7,0,0.405328,2959001539836,96,95,4,0
10,0.438833,34,1.000000,153,13,69,2000,10179886194542,105425463420704,10945094753552,0,never,6,0,0.438833,3034759525875,95,93,5,0
11,0.825368,31,1.000000,181,7,98,2000,10138010380652,104252913785401,8956243071286,0,never,0,0,0.825368,2906145474555,95,93,5,0
12,0.278824,34,1.000000,176,10,93,2000,10111780908353,97974959005923,8055528737351,0,never,8,0,0.278824,2868252434111,94,93,6,1
13,0.555402,33,1.000000,161,10,72,2000,10203366638340,90477113311520,9889589386511,0,never,0,0,0.555402,2964058377708,98,96,2,0
14,0.427623,34,1.000000,158,12,80,2000,10189849980228,96112936042746,7033014110870,0,never,6,0,0.427623,2971502108136,97,97,3,0
15,0.759776,34,1.000000,162,5,66,2000,10194538115854,90156325188775,7834788926788,0,never,0,0,0.759776,2819346433701,99,99,1,0
16,0.528165,33,1.000000,164,8,82,2000,10111607508894,94814909248016,8511155695287,0,never,0,0,0.528165,2834370866948,96,96,4,1
17,0.396066,33,1.000000,178,10,89,2000,10106677387540,88601451295367,4462472410009,0,never,2,0,0.396066,2851216472600,95,94,5,0
18,0.530828,34,1.000000,193,10,96,2000,10107836089815,89535010631074,6297913119844,0,never,0,0,0.530828,2808210327418,97,96,3,0
19,0.255989,34,1.000000,153,4,73,2000,10109426596057,95451230952406,10291922168953,0,never,9,0,0.255989,2831644664514,97,96,3,0
20,0.167179,32,1.000000,192,9,100,2000,10142722432843,102973400019652,13158830838915,0,never,8,0,0.167179,2969623033970,95,95,5,0
21,0.378499,32,1.000000,177,7,84,2000,10117711147153,84389632657373,7203230802871,0,never,6,0,0.378499,2727742934734,96,95,4,0
22,0.549847,34,1.000000,159,6,76,2000,10167812716477,97066265825361,9588849081740,0,never,0,0,0.549847,2898112453281,99,99,1,0
23,0.384288,33,1.000000,171,8,88,2000,10164987701409,95016245987548,10486512249805,0,never,6,0,0.384288,2940072760032,98,96,2,0
24,0.640787,34,1.000000,187,9,90,2000,10134425362486,92265989151025,9575992365441,0,never,0,0,0.640787,2895985714468,98,95,2,0
25,0.479849,34,1.000000,169,6,83,2000,10145323353640,94969164747925,11567829844193,0,never,4,0,0.479849,2835263505481,97,96,3,0
26,0.379391,32,1.000000,173,11,89,2000,10126470999204,97742659160884,5942571269893,0,never,8,0,0.379391,2826242065415,100,99,0,0
27,0.341763,34,1.000000,168,11,69,2000,10111303988288,83229000448798,10326901500304,0,never,8,0,0.341763,2728049224471,98,96,2,0
28,0.550050,33,1.000000,183,5,96,2000,10199056082844,107951801164973,6788332084025,0,never,0,0,0.550050,3067458954978,94,91,6,0
29,0.598878,34,1.000000,183,5,82,2000,10137924137204,86535107935369,6149424604096,0,never,0,0,0.598878,2766157785804,99,97,1,0
30,0.605756,34,1.000000,164,6,77,2000,10127172335532,85207153899196,8066841545110,0,never,0,0,0.605756,2830951050788,100,98,0,0
31,0.693780,33,1.000000,185,7,89,2000,10211127106793,87945831775736,7109870740835,0,never,0,0,0.693780,2919706124574,100,98,0,0
32,0.356519,34,1.000000,169,8,79,2000,10096523781224,85579325913173,10200648544520,0,never,7,0,0.356519,2726844742625,97,96,3,0
33,0.694493,34,1.000000,171,9,74,2000,10164458359006,90470055089364,7278237088122,0,never,0,0,0.694493,2823328302323,95,94,5,1
34,0.518385,33,1.000000,161,7,77,2000,10105957026539,87648403079964,10848888252450,0,never,0,0,0.518385,2857689490710,100,99,0,0
35,0.654860,32,1.000000,186,7,94,2000,10133868097288,92843939630799,6368735521896,0,never,0,0,0.654860,2787381168933,100,99,0,0
36,0.435952,34,1.000000,179,10,88,2000,10124746916868,92061519655647,7742580613277,0,never,4,0,0.435952,2825520245363,94,92,6,0
37,0.457975,34,1.000000,169,8,83,2000,10130679156476,93172133444326,9572665084884,0,never,6,0,0.457975,2904894124117,95,93,5,0
38,0.457789,33,1.000000,188,10,99,2000,10121482871004,101033733100264,8076183675897,0,never,1,0,0.457789,2910198666241,97,95,3,0
39,0.383175,32,1.000000,180,8,77,2000,10115213124451,94204735660837,9149579154731,0,never,7,0,0.383175,2826266059285,95,93,5,0
40,0.340883,34,1.000000,163,7,80,2000,10119094058262,93134914495717,10439411579834,0,never,8,0,0.340883,2931788853372,98,96,2,0
41,0.492106,30,1.000000,181,9,91,2000,10155065702195,85693651203758,6489617813821,0,never,1,0,0.492106,2855444648900,97,96,3,0
42,0.639931,32,1.000000,171,5,81,2000,10136676192143,96538252278860,5008697308747,0,never,0,0,0.639931,2924381622621,99,97,1,0
43,0.684562,33,1.000000,188,10,81,2000,10203384750716,92112316171231,8868444074430,0,never,0,0,0.684562,2866108996840,98,95,2,0
44,0.445042,34,1.000000,203,6,98,2000,10129818549598,94462047300659,7033972343586,0,never,6,0,0.445042,2863228997689,95,94,5,0
45,0.391296,34,1.000000,180,7,90,2000,10118569829007,93470669821905,8424772001924,0,never,7,0,0.391296,2780130919025,95,94,5,0
46,0.549008,34,1.000000,177,11,91,2000,10152868757552,89533879129040,15320465449531,0,never,0,0,0.549008,3015276249068,95,94,5,0
47,0.348914,34,1.000000,159,4,77,2000,10130436893514,99072537648865,9447807170404,0,never,7,0,0.348914,3055687263041,96,95,4,0
48,0.588397,34,1.000000,191,11,81,2000,10164307504197,95783880088929,9565024018965,0,never,0,0,0.588397,2841507197129,97,96,3,0
49,0.515884,32,1.000000,189,5,92,2000,10133146926292,83053006123473,8835250844043,0,never,0,0,0.515884,2857671737254,97,96,3,0
50,0.577806,31,1.000000,153,14,80,2000,10150194206549,100586828967049,14060056536347,0,never,0,0,0.577806,3086294109041,97,97,3,0
51,0.492507,31,1.000000,170,5,75,2000,10218418725714,97109475776740,9648871376175,0,never,1,0,0.492507,2853976640470,97,95,3,0
52,0.396517,33,1.000000,176,9,84,2000,10162493967137,107784277673293,11052951463659,0,never,7,0,0.396517,2962853211948,96,92,4,0
53,0.416178,34,1.000000,169,12,80,2000,10130726526289,110537825410132,7650271378299,0,never,7,0,0.416178,2947973531934,95,94,5,0
54,0.354554,32,1.000000,169,8,75,2000,10158903104303,99183895946543,10345422267422,0,never,8,0,0.354554,2946451321764,96,94,4,0
55,0.617612,34,1.000000,171,8,78,2000,10129626408495,87578936237956,6543305762395,0,never,0,0,0.617612,2753691410954,98,98,2,0
56,0.475757,34,1.000000,180,9,85,2000,10106562650326,85806368278208,7272567516217,0,never,5,0,0.475757,2813204030037,96,95,4,0
57,0.399220,33,1.000000,159,11,90,2000,10197411397234,102595618637373,7833174266914,0,never,2,0,0.399220,2900363917211,97,95,3,0
58,0.355392,32,1.000000,180,10,89,2000,10101833236012,90116632906274,7557813665522,0,never,7,0,0.355392,2789524007998,95,93,5,0
59,0.452987,34,1.000000,178,9,92,2000,10112513060309,96101072835627,11768989155936,0,never,4,0,0.452987,2860648356549,99,99,1,0
60,0.350129,34,1.000000,161,4,98,2000,10115861969839,94961930868352,10291785251229,0,never,6,0,0.350129,2985976996888,94,93,6,1
61,0.278055,32,1.000000,185,14,86,2000,10165538923769,90208884576746,10753812634666,0,never,6,0,0.278055,2849280428500,98,95,2,1
62,0.316227,31,1.000000,188,14,89,2000,10176058386074,99591959156500,13515253761672,0,never,7,0,0.316227,2991694955735,97,97,3,0
63,0.382930,34,1.000000,192,7,91,2000,10151577699718,97806309540461,9003674118192,0,never,7,0,0.382930,2935882511850,97,96,3,0
64,0.518475,32,1.000000,178,14,83,2000,10183794499611,85199453779661,6713492408877,0,never,0,0,0.518475,2865677366245,98,98,2,0
65,0.281885,33,1.000000,163,9,81,2000,10112195870074,93407022080159,6857829146109,0,never,8,0,0.281885,2822181708503,98,95,2,0
66,0.365891,32,1.000000,164,9,80,2000,10111100200700,93531837241125,6195584716610,0,never,6,0,0.365891,2868085093304,98,96,2,0
67,0.397840,34,1.000000,173,5,88,2000,10118312103318,95599125715350,7673760053118,0,never,6,0,0.397840,2836562839997,96,95,4,0
68,0.362723,32,1.000000,191,13,105,2000,10158083929266,110283000861686,7378775664831,0,never,3,0,0.362723,3020617070753,96,94,4,0
69,0.289292,32,1.000000,158,9,76,2000,10120541228044,99484385594308,7537648259850,0,never,7,0,0.289292,2896596377905,98,96,2,0
70,0.747083,30,1.000000,168,6,73,2000,10126082224916,85214167155184,8347635141864,0,never,0,0,0.747083,2757722267516,99,96,1,0
71,0.400975,32,1.000000,166,9,76,2000,10152833832520,101167976345434,9500470411257,0,never,7,0,0.400975,2922018738652,97,97,3,0
72,0.485541,30,1.000000,147,7,73,2000,10221456078522,108691372696278,7692670961757,0,never,1,0,0.485541,3139200424827,96,96,4,0
73,0.497425,34,1.000000,170,9,88,2000,10115680951475,90173870806777,7934393195691,0,never,4,0,0.497425,2960975899589,96,95,4,0
74,0.303942,34,1.000000,158,9,78,2000,10127893159164,109678385379793,12022935108680,0,never,6,0,0.303942,3001485594470,99,99,1,0
75,0.341292,33,1.000000,172,7,87,2000,10115503824593,93410663360320,8094095888615,0,never,8,0,0.341292,2845601752399,97,97,3,0
76,0.563058,34,1.000000,167,6,95,2000,10107447219976,90770908207398,9516073139897,0,never,0,0,0.563058,2758818023510,94,93,6,0
77,0.436506,34,1.000000,184,6,92,2000,10135187135234,95772075640631,8098132545760,0,never,6,0,0.436506,2813645737925,95,94,5,0
78,0.407971,34,1.000000,179,6,81,2000,10115549710913,93117959257526,6476567899922,0,never,6,0,0.407971,2815257192242,95,92,5,0
79,0.630053,34,1.000000,168,9,76,2000,10141764762666,92612916476501,5853648727978,0,never,0,0,0.630053,2869413454327,94,93,6,0
80,0.389229,33,1.000000,201,10,90,2000,10112670785182,85373757126365,7623278137939,0,never,2,0,0.389229,2790386451410,94,93,6,1
81,0.362982,34,1.000000,187,7,100,2000,10110187198022,90855206495415,10805240264646,0,never,8,0,0.362982,2787819304809,98,97,2,0
82,0.462809,34,1.000000,175,15,87,2000,10113523198047,88568248615071,6257030646638,0,never,4,0,0.462809,2712362876576,96,95,4,0
83,0.709332,34,1.000000,182,8,106,2000,10143281181221,85730310032529,4881370106105,0,never,0,0,0.709332,2828686009337,97,97,3,0
84,0.372427,32,1.000000,164,11,76,2000,10158841669259,85833691901402,7370819907955,0,never,1,0,0.372427,2776486662130,99,99,1,0
85,0.394530,32,1.000000,174,7,85,2000,10117362126711,89394010378058,7644853420600,0,never,2,0,0.394530,2821906320334,98,97,2,0
86,0.593780,34,1.000000,187,7,88,2000,10112044751735,89364810034811,11663180521745,0,never,0,0,0.593780,2804154165674,97,95,3,0
87,0.242761,34,1.000000,188,10,90,2000,10166630692742,98362252321336,26122332192718,0,never,10,0,0.242761,3152243750881,92,91,8,0
88,0.682195,33,1.000000,171,5,77,2000,10147151650140,85281170082344,4742526519072,0,never,0,0,0.682195,2751677056924,98,97,2,0
89,0.480185,34,1.000000,165,9,90,2000,10104686579200,89920872901767,8643306677876,0,never,4,0,0.480185,2834509365969,98,96,2,0
90,0.464021,33,1.000000,168,8,79,2000,10117273055481,81039414785868,8068801565353,0,never,5,0,0.464021,2743015484190,96,95,4,0
91,0.358842,33,1.000000,180,8,93,2000,10092930317772,88647948041229,5933777065745,0,never,7,0,0.358842,2743000896458,100,99,0,0
92,0.521200,34,1.000000,179,9,75,2000,10175295005048,94398818335181,5933999658344,0,never,0,0,0.521200,2865610631485,97,95,3,0
93,0.725133,34,1.000000,155,15,85,2000,10189472466340,94150737481882,8912587751349,0,never,0,0,0.725133,3012149052865,99,98,1,0
94,0.256424,34,1.000000,158,8,80,2000,10103078042406,87519047145670,14622480539243,0,never,10,0,0.256424,2819067205080,92,92,8,1
95,0.514658,34,1.000000,177,3,92,2000,10162458140869,104274798017690,8665474498520,0,never,0,0,0.514658,2959123531698,98,96,2,0
96,0.418748,33,1.000000,187,9,93,2000,10175585373092,83708017458450,7857775091855,0,never,2,0,0.418748,2853432254180,94,93,6,0
97,0.436643,33,1.000000,165,8,79,2000,10128723630575,104804577375106,7494136929368,0,never,6,0,0.436643,2883176317237,94,92,6,0
98,0.392119,32,1.000000,161,6,73,2000,10130966942531,92450256050432,7299150695639,0,never,7,0,0.392119,2801412093340,98,96,2,0
99,0.423083,34,1.000000,172,4,89,2000,10101604688622,87339780369317,8924158948687,0,never,4,0,0.423083,2806419499472,93,90,7,0
100,0.316746,34,1.000000,153,8,75,2000,10138444433938,100020978311233,11998522998594,0,never,9,0,0.316746,2899412020577,96,96,4,2
101,0.250449,32,1.000000,186,8,91,2000,10118890763739,107823584838917,6482256762812,0,never,8,0,0.250449,2880999427949,98,98,2,0
102,0.479057,34,1.000000,193,12,91,2000,10163677932274,95549375125397,8465264373756,0,never,4,0,0.479057,2854558235922,97,95,3,0
103,0.596800,34,1.000000,197,9,104,2000,10226878633103,95958897030203,10319125927743,0,never,0,0,0.596800,3024963608814,95,95,5,0
104,0.341615,33,1.000000,181,13,86,2000,10157629098583,111687929518259,9872693729266,0,never,7,0,0.341615,2987778762992,98,97,2,0
105,0.357408,33,1.000000,150,11,76,2000,10168372816614,105888805949734,8090484453037,0,never,7,0,0.357408,2971026357836,96,96,4,0
106,0.451764,34,1.000000,185,7,89,2000,10115721069416,92662387162832,10948179735136,0,never,5,0,0.451764,2924855203033,97,95,3,1
107,0.700485,34,1.000000,183,11,89,2000,10191034710782,97134382572624,7224224743378,0,never,0,0,0.700485,2938086787547,97,94,3,0
108,0.458449,33,1.000000,174,4,90,2000,10103251700106,90178563847181,8652532986840,0,never,6,0,0.458449,2753401385160,92,91,8,0
109,0.508434,34,1.000000,164,5,86,2000,10135373374600,92272194010865,10496129433255,0,never,0,0,0.508434,2841458711278,97,96,3,0
110,0.443526,33,1.000000,171,7,92,2000,10134702322227,97206126616377,9118261417110,0,never,7,0,0.443526,2862620462039,98,95,2,0
111,0.447271,33,1.000000,170,7,95,2000,10110511408186,91438442935548,7080468620022,0,never,5,0,0.447271,2808170513313,98,96,2,0
112,0.357684,34,1.000000,160,10,76,2000,10111101810117,89695333617390,9642853471094,0,never,7,0,0.357684,2811503786812,96,94,4,1
